pid,playlist_name,tid,track_name,artist_name
129906,Fall 2013,4,At Home - Passion Pit Remix,Crystal Fighters
136224,My oldies,0,The Tracks Of My Tears,Smokey Robinson & The Miracles
136224,My oldies,1,You've Really Got A Hold On Me - Alternate Stereo Mix,Smokey Robinson & The Miracles
136224,My oldies,2,Ooo Baby Baby,Smokey Robinson & The Miracles
136224,My oldies,3,Float On - Single Version,The Floaters
136224,My oldies,4,Natural High,Bloodstone
138649,rainy days,0,A Boy Can Dream,Casey Abrams
138649,rainy days,1,Hey Now,London Grammar
138649,rainy days,2,Pictures,Benjamin Francis Leftwich
138649,rainy days,3,Skin,Josh Record
138649,rainy days,4,Not About Angels,Birdy
148000,Wake Up!!,0,Wake Up,Fetty Wap
148000,Wake Up!!,1,Wake Up (feat. ChuchPeople),Sir the Baptist
148000,Wake Up!!,2,Wake Up,Aaradhna
148000,Wake Up!!,3,Wake Up,The Verve Pipe
148000,Wake Up!!,4,Wake Up,EDEN
157594,electro,0,Under Control,Calvin Harris
157594,electro,1,Turn Down for What,DJ Snake
157594,electro,2,The Island - Pt. I (Dawn),Pendulum
157594,electro,3,No Beef,Afrojack
157594,electro,4,Talk Dirty (feat. 2 Chainz),Jason Derulo
170573,cool,0,Take Your Time,Sam Hunt
170573,cool,1,Go Flex,Post Malone
170573,cool,2,Mama's Song,Carrie Underwood
170573,cool,3,Tied Up,Casey Veggies
170573,cool,4,Say You Won't Let Go,James Arthur
172412,CAR,0,Love Yourself,Justin Bieber
172412,CAR,1,Sorry,Justin Bieber
172412,CAR,2,What Do You Mean?,Justin Bieber
172412,CAR,3,"Me, Myself & I",G-Eazy
172412,CAR,4,Stressed Out,Twenty One Pilots
173203,Dec,0,What You Do to Me,John Legend
173203,Dec,1,They Don't Know,Ariana Grande
173203,Dec,2,Nobody's Better (feat. Fetty Wap),Z
173203,Dec,3,Power,Little Mix
173203,Dec,4,Did It For The Fame,Sabina Ddumba
202997,Silly,0,King Tut,Steve Martin
202997,Silly,1,Akbar,Jeffery Dallas
202997,Silly,2,Never Get Naked in Your Shower,Julian Smith
202997,Silly,3,VeggieTales Theme Song,VeggieTales
202997,Silly,4,God Is Bigger,VeggieTales
214615,Park,0,Castle,Halsey
214615,Park,1,I Walk The Line,Halsey
214615,Park,2,Gangsta,Kehlani
214615,Park,3,Freakshow (feat. Varien) - Original Mix,SPLITBREED
214615,Park,4,Carousel,Melanie Martinez
216471,j.cole,0,Wet Dreamz,J. Cole
216471,j.cole,1,Apparently,J. Cole
216471,j.cole,2,Fire Squad,J. Cole
216471,j.cole,3,She Knows,J. Cole
216471,j.cole,4,The Law (feat. Mac Miller & Rapsody),Ab-Soul
229291,gang,0,Candy Paint,Post Malone
229291,gang,1,Ex Calling,6LACK
229291,gang,2,Numb,21 Savage
229291,gang,3,Nothing 2 Lose,KYLE
229291,gang,4,Unforgettable,French Montana
243049,It's Lit ,0,I Don't Like,Chief Keef
243049,It's Lit ,1,Watch Out,2 Chainz
243049,It's Lit ,2,T-Shirt,Migos
243049,It's Lit ,3,Caroline,Aminé
243049,It's Lit ,4,Bounce Back,Big Sean
243398,2010's,0,Titanium (feat. Sia) - feat. Sia,David Guetta
243398,2010's,1,Replay,Iyaz
243398,2010's,2,I Like It,Enrique Iglesias
243398,2010's,3,California Gurls - feat. Snoop Dogg,Katy Perry
243398,2010's,4,Ridin' Solo,Jason Derulo
244107,EDM,0,Zombies (Big Wild Remix),Bro Safari
244107,EDM,1,You,Gold Panda
244107,EDM,2,You & Me - Flume Remix,Disclosure
244107,EDM,3,White Noise,Disclosure
244107,EDM,4,Fuck That,Skrillex
246489,bus music,0,Cigarette Daydreams,Cage The Elephant
246489,bus music,1,Telescope,Cage The Elephant
246489,bus music,2,Halo,Cage The Elephant
246489,bus music,3,Shake Me Down,Cage The Elephant
246489,bus music,4,Walking The Cow,Daniel Johnston
260786,Spanish,0,El Perdón,Nicky Jam
260786,Spanish,1,DUELE EL CORAZON,Enrique Iglesias
260786,Spanish,2,Traicionera,Sebastian Yatra
260786,Spanish,3,Otra Vez (feat. J Balvin),Zion & Lennox
260786,Spanish,4,Baila Conmigo,Juan Magán
299136,get away,0,Paris,The Chainsmokers
299136,get away,1,Go Fuck Yourself,Two Feet
299136,get away,2,Weekend (feat. Miguel),Mac Miller
299136,get away,3,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper
299136,get away,4,Another Day in Paradise,Quinn XCII
302147,Road Trip,0,Brave,Sara Bareilles
302147,Road Trip,1,Fine By Me,Andy Grammer
302147,Road Trip,2,Bonfire Heart,James Blunt
302147,Road Trip,3,Postcards,James Blunt
302147,Road Trip,4,When I Find Love Again,James Blunt
302573,throwback thursday,0,"Jumpin', Jumpin'",Destiny's Child
302573,throwback thursday,1,"One, Two Step",Ciara
302573,throwback thursday,2,Party Up,DMX
302573,throwback thursday,3,All That She Wants,Ace of Base
302573,throwback thursday,4,Be My Lover,La Bouche
308573,sleepy,0,High Hopes,Kodaline
308573,sleepy,1,Apologize,OneRepublic
308573,sleepy,2,Let Her Go,Passenger
308573,sleepy,3,Uncover,Zara Larsson
308573,sleepy,4,Please Don't Go,Joel Adams
316243,RnB/HipHop,0,Lovin' It [feat. Joe Scudda] - feat. Joe Scudda Explicit Versiont,Little Brother
316243,RnB/HipHop,1,Selfish,Slum Village
316243,RnB/HipHop,2,So Fresh,CJ Hilton
316243,RnB/HipHop,3,Be Alright,Ebrahim
316243,RnB/HipHop,4,Pretty Girls,Wale
319272,R&B,0,All of Me,John Legend
319272,R&B,1,Bed,J. Holiday
319272,R&B,2,So Sick,Ne-Yo
319272,R&B,3,Let Her Go,Passenger
319272,R&B,4,Halo,Beyoncé
320742,jams,0,Fun & Games,The Connells
320742,jams,1,Tiny Dancer,Elton John
320742,jams,2,Landslide,Dixie Chicks
320742,jams,3,Not Ready to Make Nice,Dixie Chicks
320742,jams,4,Lose Yourself - Soundtrack Version,Eminem
348766,Way Back,0,That's How Strong My Love Is,Otis Redding
348766,Way Back,1,L-O-V-E - 2000 Digital Remaster,Nat King Cole
348766,Way Back,2,The Way You Look Tonight,Frank Sinatra
348766,Way Back,3,Unforgettable (Duet with Nat "King" Cole) - 2000 Digital Remaster,Nat King Cole
348766,Way Back,4,Moon River,Louis Armstrong
373109,soul food ,0,Give Me Faith,Elevation Worship
373109,soul food ,1,Behold Our God,Sovereign Grace Music
373109,soul food ,2,The Proof of Your Love,for KING & COUNTRY
373109,soul food ,3,Grace and Peace,Sovereign Grace Music
373109,soul food ,4,Nothing in All the Earth,Sovereign Grace Music
383203,Baby makin,0,Na Na,Trey Songz
383203,Baby makin,1,Bottoms Up - feat. Nicki Minaj,Trey Songz
383203,Baby makin,2,Heart Attack,Trey Songz
383203,Baby makin,3,Neighbors Know My Name,Trey Songz
383203,Baby makin,4,I Invented Sex [feat. Drake],Trey Songz
389253,SEPT 2016,0,Intro: What Am I to You,BTS
389253,SEPT 2016,1,Butterfly,BTS
389253,SEPT 2016,2,BOOMBAYAH - KR Ver.,BLACKPINK
389253,SEPT 2016,3,Run,BTS
389253,SEPT 2016,4,Somebody Else,The 1975
405780,COMEDY,0,Hurt Feelings,Flight of the Conchords
405780,COMEDY,1,Hiphopopotamus vs. Rhymenoceros [feat. Rhymenoceros and the Hiphopopotamus],Flight of the Conchords
405780,COMEDY,2,If You're Into It,Flight of the Conchords
405780,COMEDY,3,Robots,Flight of the Conchords
405780,COMEDY,4,Wonderboy,Tenacious D
448671,throwbacks,0,Sugar (feat. Francesco Yates),Robin Schulz
448671,throwbacks,1,Fire Burning,Sean Kingston
448671,throwbacks,2,Eenie Meenie,Justin Bieber
448671,throwbacks,3,Do You Remember,Jay Sean
448671,throwbacks,4,Replay,Iyaz
451625,lalalala,0,Sunshine,Atmosphere
451625,lalalala,1,Bodies,Bobby Shmurda
451625,lalalala,2,Hit 'Em Hard,Bobby Shmurda
451625,lalalala,3,Body Dance,Bobby Shmurda
451625,lalalala,4,Ready,Vigiland
465681,peace,0,Planets,Joseph
465681,peace,1,Rosanna (feat. Penny and Sparrow),Corey Kilgannon
465681,peace,2,The Hollow in Retrospect (feat. Liza Anne),Corey Kilgannon
465681,peace,3,Hospital Hymns,Corey Kilgannon
465681,peace,4,Double Heart,Penny and Sparrow
466479,😈😈😈,0,Strawberry Letter 23,Shuggie Otis
466479,😈😈😈,1,The Legend Of The Last Of The Outlaw Truckers Aka The Ballad Of Sheriff Shorty,The Dandy Warhols
466479,😈😈😈,2,Bluebird Wine,Rodney Crowell
466479,😈😈😈,3,Never My Love - Remastered,The Association
466479,😈😈😈,4,Hold Tight!,"Dave Dee, Dozy, Beaky, Mick & Tich"
469670,Doctor Who,0,Purple Haze,Jimi Hendrix
469670,Doctor Who,1,Tainted Love,Soft Cell
469670,Doctor Who,2,Toxic,Britney Spears
469670,Doctor Who,3,Never Can Say Goodbye,The Communards
469670,Doctor Who,4,Mr. Blue Sky,Electric Light Orchestra
470780,Summer 2017,0,do re mi (feat. Gucci Mane),blackbear
470780,Summer 2017,1,Patty Cake,Kodak Black
470780,Summer 2017,2,Crew,GoldLink
470780,Summer 2017,3,Canoga Park,Gyyps
470780,Summer 2017,4,Another Day in Paradise,Quinn XCII
499822,Austin,0,Over When It's Over,Eric Church
499822,Austin,1,Loving You Easy,Zac Brown Band
499822,Austin,2,House Party,Sam Hunt
499822,Austin,3,Crushin' It,Brad Paisley
499822,Austin,4,Somebody Like You,Keith Urban
503111,Countdown,0,Fire Alarm,Castlecomer
503111,Countdown,1,Countdown,Jupiter One
503111,Countdown,2,Entertainment,Phoenix
503111,Countdown,3,1901,Phoenix
503111,Countdown,4,What You Know,Two Door Cinema Club
514877,Oldies,0,Don't Stop Believin',Journey
514877,Oldies,1,Hold the Line,Toto
514877,Oldies,2,Renegade,Styx
514877,Oldies,3,Dream On,Aerosmith
514877,Oldies,4,I Want To Know What Love Is - Remastered,Foreigner
517612,90,0,Doo Wop (That Thing),Ms. Lauryn Hill
517612,90,1,Genie in a Bottle,Christina Aguilera
517612,90,2,Ghetto Supastar (That is What You Are),Pras
517612,90,3,I Want You Back - Radio Edit,*NSYNC
517612,90,4,What You Want (feat. Total),Mase
518425,boleros,0,Adoro - con Alejandro Sanz,Armando Manzanero
518425,boleros,1,Somos Novios - feat. Lolita,Armando Manzanero
518425,boleros,2,Nada Personal,Armando Manzanero
518425,boleros,3,No,Armando Manzanero
518425,boleros,4,Contigo Aprendi,Marco Antonio Muñiz
523577,bath,0,Flashlight,The Front Bottoms
523577,bath,1,Expectations,Belle & Sebastian
523577,bath,2,Island In The Sun,Weezer
523577,bath,3,Quicksand,The Story So Far
523577,bath,4,Bloom - Bonus Track,The Paper Kites
533893,Driving,0,Lights,Klaypex
533893,Driving,1,You Are My Summer,La+ch
533893,Driving,2,Waves - Robin Schulz Radio Edit,Mr. Probz
533893,Driving,3,High You Are,What So Not
533893,Driving,4,Games,CLAIRE
541281,Autumn '17,0,Get Some,Ghosted
541281,Autumn '17,1,Honey Sweet,Blossoms
541281,Autumn '17,2,Everybody Knows,Kimbra
541281,Autumn '17,3,idontwannabeyouanymore,Billie Eilish
541281,Autumn '17,4,What Lovers Do (feat. SZA),Maroon 5
543542,Mix,0,I Need My Girl,The National
543542,Mix,1,The Good Left Undone,Rise Against
543542,Mix,2,Take It Or Leave It,Sublime With Rome
543542,Mix,3,Don't Swallow the Cap,The National
543542,Mix,4,Savior,Rise Against
553023,Mellow,0,I Summon You,Spoon
553023,Mellow,1,You And I,Wilco
553023,Mellow,2,Sleepyhead,Passion Pit
553023,Mellow,3,Satellite,Guster
553023,Mellow,4,West Coast,Coconut Records
560540,beats,0,Lemonade - Instrumental,Gucci Mane
560540,beats,1,Cry Me a River (In the Style of Big Band Style) [Karaoke Version],Ameritz Karaoke Standards
560540,beats,2,Pause 4 Porno - Instrumental Version,Dr. Dre
560540,beats,3,Murder Ink - Instrumental Version,Dr. Dre
560540,beats,4,Housewife - Instrumental Version,Dr. Dre
579339,YES,0,Tonight,Seether
579339,YES,1,Poem,Taproot
579339,YES,2,Fine Again,Seether
579339,YES,3,Blister,Seether
579339,YES,4,Careless Whisper,Seether
602692,ESPAÑOL,0,Te Recordaré Bailando,Don Omar
602692,ESPAÑOL,1,Dile,Don Omar
602692,ESPAÑOL,2,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik
602692,ESPAÑOL,3,La Carretera,Prince Royce
602692,ESPAÑOL,4,Si Tú No Estás,Nicky Jam
604424,Bachata,0,Los Infieles,Aventura
604424,Bachata,1,Si Esta Casa Hablara (Bachata Version),Joel Santos
604424,Bachata,2,Por un Segundo,Aventura
604424,Bachata,3,Tu Jueguito,Aventura
604424,Bachata,4,La Tormenta,Aventura
611405,vibes,0,Start A Riot,BANNERS
611405,vibes,1,Show Me What I'm Looking For,Carolina Liar
611405,vibes,2,Come a Little Closer,Cage The Elephant
611405,vibes,3,Iris,The Goo Goo Dolls
611405,vibes,4,Home,Edward Sharpe & The Magnetic Zeros
625525,my jam,0,Strip That Down,Liam Payne
625525,my jam,1,HUMBLE.,Kendrick Lamar
625525,my jam,2,Silence,Marshmello
625525,my jam,3,Location,Khalid
625525,my jam,4,Young Dumb & Broke,Khalid
645145,Alt/Indie,0,Ain't No Rest for the Wicked - Original Version,Cage The Elephant
645145,Alt/Indie,1,Come a Little Closer,Cage The Elephant
645145,Alt/Indie,2,Cigarette Daydreams,Cage The Elephant
645145,Alt/Indie,3,Cold Cold Cold,Cage The Elephant
645145,Alt/Indie,4,Do I Wanna Know?,Arctic Monkeys
648591,\m/,0,I Had a Real Good Lover,The Shouting Matches
648591,\m/,1,Returning to the Fold,The Thermals
648591,\m/,2,Wait for the Moment,Vulfpeck
648591,\m/,3,Waiting For My Ruca,Sublime
648591,\m/,4,S.O.B.,Nathaniel Rateliff & The Night Sweats
651504,Unwind,0,Hero,Family of the Year
651504,Unwind,1,Crosses,José González
651504,Unwind,2,Georgia,Vance Joy
651504,Unwind,3,Heartbeats,José González
651504,Unwind,4,Wild World - Acoustic Version,Joanna Wang
656595,Old school,0,Return Of The Mack - C & J Street Mix,Mark Morrison
656595,Old school,1,Sunshine,Alexander O'Neal
656595,Old school,2,Rock with You - Single Version,Michael Jackson
656595,Old school,3,Your Smile - 12" Mix,Rene & Angela
656595,Old school,4,Happy,Surface
659472,throwback,0,I Gotta Feeling,The Black Eyed Peas
659472,throwback,1,Hips Don't Lie,Shakira
659472,throwback,2,TiK ToK,Kesha
659472,throwback,3,Call Me Maybe,Carly Rae Jepsen
659472,throwback,4,Happy - From "Despicable Me 2",Pharrell Williams
689590,Low Key ,0,Lessons,Millyz
689590,Low Key ,1,Golden God,Machine Gun Kelly
689590,Low Key ,2,Elm Street,Jimmy Wopo
689590,Low Key ,3,No Delay,Troy Ave
689590,Low Key ,4,Busta Rhymes,Montana of 300
693751,Upbeat,0,Happy,C2C
693751,Upbeat,1,40 Watt,ELEL
693751,Upbeat,2,Come Back To Me,Urban Cone
693751,Upbeat,3,Love Me Back,LunchMoney Lewis
693751,Upbeat,4,Paris,Magic Man
699107,Playlist,0,Again,Fetty Wap
699107,Playlist,1,Malibu,Miley Cyrus
699107,Playlist,2,Love Yourself vs F*CK Yourself - Love Yourself Response,Yo Preston
699107,Playlist,3,Chandelier,Sia
699107,Playlist,4,Cheap Thrills,Sia
701065,workout,0,Middle,DJ Snake
701065,workout,1,Sex,Cheat Codes
701065,workout,2,Express Yourself - feat. Nicky Da B,Diplo
701065,workout,3,Lean On (feat. MØ & DJ Snake),Major Lazer
701065,workout,4,I Took A Pill In Ibiza - Seeb Remix,Mike Posner
727748,Work Out,0,Holy Diver,Killswitch Engage
727748,Work Out,1,Ashes,Pepper
727748,Work Out,2,All Downhill From Here,New Found Glory
727748,Work Out,3,Still Waiting,Sum 41
727748,Work Out,4,My Friends Over You,New Found Glory
727909,hell yeah,0,Throne,Bring Me The Horizon
727909,hell yeah,1,Drown,Bring Me The Horizon
727909,hell yeah,2,Can You Feel My Heart,Bring Me The Horizon
727909,hell yeah,3,Happy Song,Bring Me The Horizon
727909,hell yeah,4,In The End,Black Veil Brides
750353,Hyphy ,0,Dessert,Dawin
750353,Hyphy ,1,Disparate Youth,Santigold
750353,Hyphy ,2,Slappin,E-40
750353,Hyphy ,3,Stolen Dance,Milky Chance
750353,Hyphy ,4,"Or Nah (feat. Wiz Khalifa) - Live from The Village, Los Angeles",Ty Dolla $ign
751832,Fall 2013,0,Wrecking Ball,Miley Cyrus
751832,Fall 2013,1,We Can't Stop,Miley Cyrus
751832,Fall 2013,2,Royals,Lorde
751832,Fall 2013,3,Roar,Katy Perry
751832,Fall 2013,4,Wake Me Up - Radio Edit,Avicii
755179,peachy,0,XO TOUR Llif3,Lil Uzi Vert
755179,peachy,1,Unforgettable,French Montana
755179,peachy,2,Wild Thoughts,DJ Khaled
755179,peachy,3,Despacito - Remix,Luis Fonsi
755179,peachy,4,Congratulations,Post Malone
783397,mellow,0,quit,LANY
783397,mellow,1,Salad Days,Mac Demarco
783397,mellow,2,New Slang,The Shins
783397,mellow,3,Paris,The 1975
783397,mellow,4,A Change Of Heart,The 1975
808716,yes,0,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper
808716,yes,1,Blessings,Chance The Rapper
808716,yes,2,Pretty,Lil Yachty
808716,yes,3,Ready,SONDAR
808716,yes,4,Lush Life,Zara Larsson
828407,Halloween 2017,0,"Theme (From 'Scooby-Doo, Where Are You?')",London Music Works
828407,Halloween 2017,1,Thriller,Michael Jackson
828407,Halloween 2017,2,Ghostbusters,"Ray Parker, Jr."
828407,Halloween 2017,3,Monster Mash,Bobby "Boris" Pickett & The Crypt-Kickers
828407,Halloween 2017,4,Sweatshirt,Jacob Sartorius
833690,Summer '17,0,do re mi,blackbear
833690,Summer '17,1,Patty Cake,Kodak Black
833690,Summer '17,2,Spirits,The Strumbellas
833690,Summer '17,3,I'm the One,DJ Khaled
833690,Summer '17,4,Take It How You Wanna (feat. Marcus Stroman),Mike Stud
838431,New and Improved,0,The Walker,Fitz and The Tantrums
838431,New and Improved,1,Magic,Coldplay
838431,New and Improved,2,The Heart,NEEDTOBREATHE
838431,New and Improved,3,Chicago,Sufjan Stevens
838431,New and Improved,4,Riptide,Vance Joy
858725,Church music,0,Joseph Smith's First Prayer,Paul Cardall
858725,Church music,1,"God, The Eternal Father",Paul Cardall
858725,Church music,2,"Jesus Of Nazareth, Savior And King",Paul Cardall
858725,Church music,3,How Great The Wisdom And The Love,Paul Cardall
858725,Church music,4,Nearer My God To Thee,Paul Cardall
901210,Work out,0,All Nightmare Long,Metallica
901210,Work out,1,Cyanide,Metallica
901210,Work out,2,I Disappear,Metallica
901210,Work out,3,Hit The Lights - Remastered,Metallica
901210,Work out,4,Seek & Destroy - Remastered,Metallica
901826,july 2017,0,Sleeping Pills,Last Night On Earth
901826,july 2017,1,Parking Lots (Ak Remix),AK
901826,july 2017,2,Hold Us Together,WILD
901826,july 2017,3,Distant,Clement Bazin
901826,july 2017,4,Lost,Donkeyboy
901947,strip,0,Intoxicated,Martin Solveig
901947,strip,1,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs
901947,strip,2,Cookie,R. Kelly
901947,strip,3,Candy Shop,50 Cent
901947,strip,4,Pony,Ginuwine
902402,☀️☀️,0,Don't Matter,Akon
902402,☀️☀️,1,Baby,Ashanti
902402,☀️☀️,2,I'm Sprung - German Remix Featuring Kool Savas,T-Pain
902402,☀️☀️,3,Can I Be Him - Acoustic Live Version,James Arthur
902402,☀️☀️,4,Sexy Can I,Ray J
913475,Thug Life,0,Long Hair Don't Care,Radical Something
913475,Thug Life,1,Escape,Radical Something
913475,Thug Life,2,Lookin' For Love,Radical Something
913475,Thug Life,3,Be Easy (feat. Kinetics),Radical Something
913475,Thug Life,4,Puppy Love,Radical Something
918267,Slow country,0,Text Me Texas,Chris Young
918267,Slow country,1,Real Men Love Jesus,Michael Ray
918267,Slow country,2,Then,Brad Paisley
918267,Slow country,3,She's Everything,Brad Paisley
918267,Slow country,4,Whiskey Lullaby,Brad Paisley
924282,well,0,Boots Of Spanish Leather,The Lumineers
924282,well,1,Foreigner's God,Hozier
924282,well,2,Good To Be Alone,Matt Corby
924282,well,3,If I Ever Get Around To Living,John Mayer
924282,well,4,Big Eyes,Matt Corby
935018,RiRi,0,Where Have You Been,Rihanna
935018,RiRi,1,Let's Go,Calvin Harris
935018,RiRi,2,Birthday Cake,Rihanna
935018,RiRi,3,We Found Love,Rihanna
935018,RiRi,4,Deuces,Chris Brown
950280,Housewarming,0,P.Y.T. (Pretty Young Thing),Michael Jackson
950280,Housewarming,1,King Kunta,Kendrick Lamar
950280,Housewarming,2,Let Me Hit That,August Alsina
950280,Housewarming,3,Le Freak,CHIC
950280,Housewarming,4,Kiss,Prince
961992,summer country,0,Unforgettable,Thomas Rhett
961992,summer country,1,Body Like A Back Road,Sam Hunt
961992,summer country,2,Somethin' I'm Good At,Brett Eldredge
961992,summer country,3,Castaway,Zac Brown Band
961992,summer country,4,Dirt On My Boots,Jon Pardi
970319,Epicness,0,Terraforming,Hans Zimmer
970319,Epicness,1,The Prince Of Persia,Harry Gregson-Williams
970319,Epicness,2,Dream Within A Dream,Hans Zimmer
970319,Epicness,3,Flight,Hans Zimmer
970319,Epicness,4,A Dark Knight,Hans Zimmer
976557,Road,0,Hard Headed Woman,Yusuf / Cat Stevens
976557,Road,1,Lose Yourself to Dance,Daft Punk
976557,Road,2,Danny's Song,Loggins & Messina
976557,Road,3,Todo Lo Que Quieres Es Bailar - feat. Descemer Bueno,Jorge Villamizar
976557,Road,4,Me and Julio Down by the Schoolyard,Paul Simon
978945,80's Mix,0,Forever Young,Alphaville
978945,80's Mix,1,Love Shack,The B-52's
978945,80's Mix,2,Rock Lobster,The B-52's
978945,80's Mix,3,Roam - Edit,The B-52's
978945,80's Mix,4,If She Knew What She Wants,The Bangles
989414,Waves,0,Fior Di Latte,Phoenix
989414,Waves,1,Girl Like You,Toro y Moi
989414,Waves,2,Say U Won't,Brasstracks
989414,Waves,3,Redbone,Childish Gambino
989414,Waves,4,Fall Harder,Skylar Spence
