model,pid,recommendation,variable,value
gemma2-9b-it,72304,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.09999999999999999
gemma2-9b-it,97461,Happy - by Pharrell Williams,playlist_name,0.36666666666666664
gemma2-9b-it,97461,Mr. Brightside - by The Killers,playlist_name,0.2833333333333333
gemma2-9b-it,97461,Shed - by The Hotelier,playlist_name,0.6166666666666666
gemma2-9b-it,97461,Twin Size Mattress - by The Front Bottoms,playlist_name,0.5
gemma2-9b-it,101440,Happy - by Pharrell Williams,playlist_name,-0.08333333333333331
gemma2-9b-it,101440,Scars - by James Bay,playlist_name,0.16666666666666666
gemma2-9b-it,101440,Someone You Loved - by Lewis Capaldi,playlist_name,0.19999999999999998
gemma2-9b-it,101440,Us - by James Bay,playlist_name,0.24999999999999997
gemma2-9b-it,105584,Bohemian Rhapsody - by Queen,playlist_name,0.3333333333333333
gemma2-9b-it,105584,Lose Yourself - by Eminem,playlist_name,0.16666666666666666
gemma2-9b-it,105584,Reckless Love - by Cory Asbury,playlist_name,0.05
gemma2-9b-it,105584,What a Beautiful Name - by Hillsong Worship,playlist_name,0.3833333333333333
gemma2-9b-it,108488,Apocalypse - by Cigarettes After Sex,playlist_name,0.31666666666666665
gemma2-9b-it,108488,HUMBLE. - by Kendrick Lamar,playlist_name,0.16666666666666666
gemma2-9b-it,108488,Mr. Brightside - by The Killers,playlist_name,0.15
gemma2-9b-it,108488,Shelter Song - by  Temples,playlist_name,0.15
gemma2-9b-it,121994,A Milli - by Lil Wayne,playlist_name,-0.016666666666666666
gemma2-9b-it,121994,Bohemian Rhapsody - by Queen,playlist_name,0.16666666666666666
gemma2-9b-it,121994,Hotel California - by Eagles,playlist_name,0.16666666666666666
gemma2-9b-it,121994,Shake It Off - by Taylor Swift,playlist_name,0.16666666666666666
gemma2-9b-it,122684,Bohemian Rhapsody - by Queen,playlist_name,-0.08333333333333333
gemma2-9b-it,122684,Don't Let Me Down - by The Chainsmokers ft. Daya,playlist_name,-0.03333333333333334
gemma2-9b-it,122684,Something Just Like This - by The Chainsmokers & Coldplay,playlist_name,0.43333333333333335
gemma2-9b-it,122684,Stairway to Heaven - by Led Zeppelin,playlist_name,0.2
gemma2-9b-it,124069,Flowers in Your Hair - by The Lumineers,playlist_name,0.2833333333333333
gemma2-9b-it,124069,Mr. Brightside - by The Killers,playlist_name,0.18333333333333332
gemma2-9b-it,124069,Riptide - by Vance Joy,playlist_name,0.31666666666666665
gemma2-9b-it,124069,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.11666666666666667
gemma2-9b-it,126329,Bohemian Rhapsody - by Queen,playlist_name,-0.4833333333333333
gemma2-9b-it,126329,Can't Stop the Feeling! - by Justin Timberlake,playlist_name,0.39999999999999997
gemma2-9b-it,126329,Hallelujah - by Leonard Cohen,playlist_name,0.9333333333333332
gemma2-9b-it,126329,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.6
gemma2-9b-it,127088,Bohemian Rhapsody - by Queen,playlist_name,0.19999999999999998
gemma2-9b-it,127088,Free Bird - by Lynyrd Skynyrd,playlist_name,0.39999999999999997
gemma2-9b-it,127088,Stairway to Heaven - by Led Zeppelin,playlist_name,0.9499999999999998
gemma2-9b-it,127088,Sweet Caroline - by Neil Diamond,playlist_name,0.8999999999999999
gemma2-9b-it,129906,Royals - by Lorde,playlist_name,0.4833333333333333
gemma2-9b-it,129906,Shelter Song - by  Temples,playlist_name,0.3
gemma2-9b-it,129906,The Nights - by Avicii,playlist_name,0.09999999999999998
gemma2-9b-it,129906,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.5666666666666667
gemma2-9b-it,136224,Bohemian Rhapsody - by Queen,playlist_name,0.18333333333333332
gemma2-9b-it,136224,I'll Be There - by The Jackson 5,playlist_name,0.18333333333333332
gemma2-9b-it,136224,Lose Yourself - by Eminem,playlist_name,0.19999999999999998
gemma2-9b-it,136224,Shop Around - by The Miracles,playlist_name,0.18333333333333335
gemma2-9b-it,138649,Mr. Brightside - by The Killers,playlist_name,0.26666666666666666
gemma2-9b-it,138649,Skinny Love - by Bon Iver,playlist_name,-0.1
gemma2-9b-it,138649,The Scientist - by Coldplay,playlist_name,0.41666666666666663
gemma2-9b-it,138649,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.15
gemma2-9b-it,148000,Creep - by Radiohead,playlist_name,0.7833333333333332
gemma2-9b-it,148000,Good Day - by Nappy Roots,playlist_name,0.5333333333333333
gemma2-9b-it,148000,Hallelujah - by Leonard Cohen,playlist_name,0.8333333333333333
gemma2-9b-it,148000,Rise Up - by Andra Day,playlist_name,0.36666666666666664
gemma2-9b-it,157594,Bohemian Rhapsody - by Queen,playlist_name,0.18333333333333332
gemma2-9b-it,157594,Hey Ya! - by Outkast,playlist_name,0.44999999999999996
gemma2-9b-it,157594,Levels - by Avicii,playlist_name,0.4666666666666667
gemma2-9b-it,157594,Titanium - by David Guetta ft. Sia,playlist_name,0.19999999999999998
gemma2-9b-it,170573,Blinding Lights - by The Weeknd,playlist_name,0.3
gemma2-9b-it,170573,Can't Feel My Face - by The Weeknd,playlist_name,0.16666666666666666
gemma2-9b-it,170573,Ring of Fire - by Johnny Cash,playlist_name,0.16666666666666666
gemma2-9b-it,170573,Wagon Wheel - by Old Crow Medicine Show,playlist_name,0.19999999999999998
gemma2-9b-it,172412,Bohemian Rhapsody - by Queen,playlist_name,-0.03333333333333333
gemma2-9b-it,172412,Company - by Justin Bieber,playlist_name,0.06666666666666667
gemma2-9b-it,172412,Peaches - by Justin Bieber ft. Daniel Caesar & Giveon,playlist_name,0.3
gemma2-9b-it,172412,Stairway to Heaven - by Led Zeppelin,playlist_name,0.08333333333333331
gemma2-9b-it,173203,7 Rings - by Ariana Grande,playlist_name,-0.016666666666666673
gemma2-9b-it,173203,All of Me - by John Legend,playlist_name,0.0
gemma2-9b-it,173203,Bohemian Rhapsody - by Queen,playlist_name,-0.03333333333333333
gemma2-9b-it,173203,Highway to Hell - by AC/DC,playlist_name,0.16666666666666666
gemma2-9b-it,202997,Bohemian Rhapsody - by Queen,playlist_name,0.16666666666666666
gemma2-9b-it,202997,Stairway to Heaven - by Led Zeppelin,playlist_name,0.31666666666666665
gemma2-9b-it,202997,The Chicken Dance - by Werner Thomas,playlist_name,0.4333333333333333
gemma2-9b-it,202997,Yakety Sax - by Boots Randolph,playlist_name,0.7
gemma2-9b-it,214615,Liability - by  Lorde,playlist_name,0.35
gemma2-9b-it,214615,Mr. Brightside - by The Killers,playlist_name,0.5166666666666666
gemma2-9b-it,214615,The Village - by  Wrabel,playlist_name,0.5
gemma2-9b-it,214615,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.15
gemma2-9b-it,216471,A Lot - by 21 Savage feat. J. Cole,playlist_name,0.35
gemma2-9b-it,216471,Bohemian Rhapsody - by Queen,playlist_name,0.18333333333333332
gemma2-9b-it,216471,Happy - by Pharrell Williams,playlist_name,0.04999999999999999
gemma2-9b-it,216471,Power Trip - by J. Cole,playlist_name,0.5666666666666667
gemma2-9b-it,229291,Congratulations - by Post Malone,playlist_name,0.0
gemma2-9b-it,229291,Hey Jude - by The Beatles,playlist_name,0.25
gemma2-9b-it,229291,Mask Off - by Future,playlist_name,0.16666666666666666
gemma2-9b-it,229291,Shake It Off - by Taylor Swift,playlist_name,0.19999999999999998
gemma2-9b-it,243049,Bad and Boujee - by Migos ft. Lil Uzi Vert,playlist_name,0.08333333333333333
gemma2-9b-it,243049,HUMBLE. - by Kendrick Lamar,playlist_name,0.7833333333333332
gemma2-9b-it,243049,Hallelujah - by Leonard Cohen,playlist_name,0.7499999999999999
gemma2-9b-it,243049,Someone Like You - by Adele,playlist_name,0.13333333333333333
gemma2-9b-it,243398,Bohemian Rhapsody - by Queen,playlist_name,0.18333333333333332
gemma2-9b-it,243398,Hallelujah - by Leonard Cohen,playlist_name,-0.11666666666666667
gemma2-9b-it,243398,Moves Like Jagger - by Maroon 5 feat. Christina Aguilera,playlist_name,0.13333333333333333
gemma2-9b-it,243398,Party Rock Anthem - by LMFAO feat. Lauren Bennett & GoonRock,playlist_name,0.25
gemma2-9b-it,244107,Bohemian Rhapsody - by Queen,playlist_name,0.11666666666666667
gemma2-9b-it,244107,Hallelujah - by Leonard Cohen,playlist_name,0.5333333333333333
gemma2-9b-it,244107,Shelter - by Porter Robinson & Madeon,playlist_name,0.13333333333333333
gemma2-9b-it,244107,The Veldt - by Deadmau5,playlist_name,0.44999999999999996
gemma2-9b-it,246489,Ain't No Rest for the Wicked - by Cage The Elephant,playlist_name,-0.13333333333333333
gemma2-9b-it,246489,Happy - by Pharrell Williams,playlist_name,0.0
gemma2-9b-it,246489,The Night We Met - by Lord Huron,playlist_name,0.16666666666666666
gemma2-9b-it,246489,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,-0.033333333333333326
gemma2-9b-it,260786,Bohemian Rhapsody - by Queen,playlist_name,0.19999999999999998
gemma2-9b-it,260786,Despacito - by Luis Fonsi ft. Daddy Yankee,playlist_name,0.3333333333333333
gemma2-9b-it,260786,Hallelujah - by Leonard Cohen,playlist_name,-0.08333333333333334
gemma2-9b-it,260786,Mi Gente - by J Balvin & Willy William,playlist_name,-0.016666666666666663
gemma2-9b-it,299136,Lost in Japan - by Shawn Mendes,playlist_name,0.35
gemma2-9b-it,299136,Mr. Brightside - by The Killers,playlist_name,0.5166666666666666
gemma2-9b-it,299136,Seven Nation Army - by The White Stripes,playlist_name,0.1333333333333333
gemma2-9b-it,299136,The Sound - by The 1975,playlist_name,0.4666666666666667
gemma2-9b-it,302147,Chasing Cars - by Snow Patrol,playlist_name,-0.1
gemma2-9b-it,302147,Mr. Brightside - by The Killers,playlist_name,0.5
gemma2-9b-it,302147,The Scientist - by Coldplay,playlist_name,0.08333333333333334
gemma2-9b-it,302147,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,-0.39999999999999997
gemma2-9b-it,302573,MMMBop - by Hanson,playlist_name,0.5333333333333333
gemma2-9b-it,302573,Mr. Brightside - by The Killers,playlist_name,0.15
gemma2-9b-it,302573,No Scrubs - by TLC,playlist_name,0.16666666666666666
gemma2-9b-it,302573,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.8166666666666665
gemma2-9b-it,308573,Can't Stop the Feeling! - by Justin Timberlake,playlist_name,0.31666666666666665
gemma2-9b-it,308573,Skinny Love - by Bon Iver,playlist_name,0.7166666666666666
gemma2-9b-it,308573,The Scientist - by Coldplay,playlist_name,0.19999999999999998
gemma2-9b-it,308573,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,-0.11666666666666665
gemma2-9b-it,316243,Bohemian Rhapsody - by Queen,playlist_name,0.4833333333333333
gemma2-9b-it,316243,Ms. Jackson - by Outkast,playlist_name,0.4666666666666667
gemma2-9b-it,316243,Seven Nation Army - by The White Stripes,playlist_name,0.5833333333333333
gemma2-9b-it,316243,U Remind Me - by Usher,playlist_name,0.6166666666666666
gemma2-9b-it,319272,Adorn - by Miguel,playlist_name,0.35
gemma2-9b-it,319272,Earned It - by The Weeknd,playlist_name,0.31666666666666665
gemma2-9b-it,319272,Mr. Brightside - by The Killers,playlist_name,0.6
gemma2-9b-it,319272,Shake It Off - by Taylor Swift,playlist_name,0.16666666666666666
gemma2-9b-it,320742,Bohemian Rhapsody - by Queen,playlist_name,0.18333333333333332
gemma2-9b-it,320742,Mr. Jones - by Counting Crows,playlist_name,0.21666666666666667
gemma2-9b-it,320742,Stairway to Heaven - by Led Zeppelin,playlist_name,0.31666666666666665
gemma2-9b-it,320742,Wide Awake - by Katy Perry,playlist_name,0.13333333333333333
gemma2-9b-it,348766,Bohemian Rhapsody - by Queen,playlist_name,0.0
gemma2-9b-it,348766,Can't Help Falling in Love - by Elvis Presley,playlist_name,0.19999999999999998
gemma2-9b-it,348766,Fly Me to the Moon - by Frank Sinatra,playlist_name,0.11666666666666667
gemma2-9b-it,348766,Lose Yourself - by Eminem,playlist_name,-0.016666666666666666
gemma2-9b-it,373109,Bohemian Rhapsody - by Queen,playlist_name,0.18333333333333332
gemma2-9b-it,373109,Lose Yourself - by Eminem,playlist_name,0.36666666666666664
gemma2-9b-it,373109,Respect - by Aretha Franklin,playlist_name,0.7
gemma2-9b-it,373109,You Are My Sunshine - by Johnny Cash,playlist_name,0.16666666666666666
gemma2-9b-it,383203,Lose Yourself - by Eminem,playlist_name,-0.03333333333333335
gemma2-9b-it,383203,Low - by Flo Rida feat. T-Pain,playlist_name,0.16666666666666666
gemma2-9b-it,383203,Mr. Brightside - by The Killers,playlist_name,0.2833333333333333
gemma2-9b-it,383203,Say It - by Tory Lanez,playlist_name,0.3333333333333333
gemma2-9b-it,389253,Dope - by BTS,playlist_name,0.25
gemma2-9b-it,389253,Playing with Fire - by BLACKPINK,playlist_name,0.3333333333333333
gemma2-9b-it,389253,Someone Like You - by Adele,playlist_name,0.11666666666666664
gemma2-9b-it,389253,Stairway to Heaven - by Led Zeppelin,playlist_name,0.0
gemma2-9b-it,405780,Bohemian Rhapsody - by Queen,playlist_name,0.16666666666666666
gemma2-9b-it,405780,Business Time - by Flight of the Conchords,playlist_name,-0.26666666666666666
gemma2-9b-it,405780,Stairway to Heaven - by Led Zeppelin,playlist_name,0.39999999999999997
gemma2-9b-it,405780,Tribute - by Tenacious D,playlist_name,-0.19999999999999998
gemma2-9b-it,448671,Blinding Lights - by The Weeknd,playlist_name,0.7999999999999999
gemma2-9b-it,448671,Party Rock Anthem - by LMFAO,playlist_name,0.35
gemma2-9b-it,448671,Tik Tok - by Ke$ha,playlist_name,0.4666666666666667
gemma2-9b-it,448671,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.5333333333333333
gemma2-9b-it,451625,Bohemian Rhapsody - by Queen,playlist_name,0.15
gemma2-9b-it,451625,HUMBLE. - by Kendrick Lamar,playlist_name,0.0
gemma2-9b-it,451625,Stairway to Heaven - by Led Zeppelin,playlist_name,0.4
gemma2-9b-it,451625,The Next Episode - by Dr. Dre ft. Snoop Dogg,playlist_name,0.16666666666666666
gemma2-9b-it,465681,Mr. Brightside - by The Killers,playlist_name,0.26666666666666666
gemma2-9b-it,465681,Seven Nation Army - by The White Stripes,playlist_name,0.43333333333333335
gemma2-9b-it,465681,Skinny Love - by Bon Iver,playlist_name,0.0
gemma2-9b-it,465681,The Scientist - by Coldplay,playlist_name,0.3333333333333333
gemma2-9b-it,466479,Black Magic Woman - by Santana,playlist_name,0.21666666666666667
gemma2-9b-it,466479,Here Comes the Sun - by The Beatles,playlist_name,0.7499999999999999
gemma2-9b-it,466479,Sympathy for the Devil - by The Rolling Stones,playlist_name,0.35
gemma2-9b-it,466479,Walking on Sunshine - by Katrina & The Waves,playlist_name,0.3
gemma2-9b-it,469670,Bohemian Rhapsody - by Queen,playlist_name,0.016666666666666673
gemma2-9b-it,469670,Hotel California - by Eagles,playlist_name,0.3333333333333333
gemma2-9b-it,469670,Space Oddity - by David Bowie,playlist_name,0.36666666666666664
gemma2-9b-it,469670,Time Warp - by The Rocky Horror Picture Show,playlist_name,0.7499999999999999
gemma2-9b-it,470780,Bohemian Rhapsody - by Queen,playlist_name,0.3833333333333333
gemma2-9b-it,470780,HUMBLE. - by Kendrick Lamar,playlist_name,0.06666666666666667
gemma2-9b-it,470780,Shape of You - by Ed Sheeran,playlist_name,0.6833333333333332
gemma2-9b-it,470780,Stairway to Heaven - by Led Zeppelin,playlist_name,0.19999999999999998
gemma2-9b-it,499822,Blinding Lights - by The Weeknd,playlist_name,0.19999999999999998
gemma2-9b-it,499822,Chicken Fried - by Zac Brown Band,playlist_name,0.0
gemma2-9b-it,499822,Drink in My Hand - by Eric Church,playlist_name,0.08333333333333331
gemma2-9b-it,499822,Lose Yourself - by Eminem,playlist_name,0.08333333333333334
gemma2-9b-it,503111,Bohemian Rhapsody - by Queen,playlist_name,-0.11666666666666667
gemma2-9b-it,503111,Coming of Age - by Foster the People,playlist_name,-0.03333333333333333
gemma2-9b-it,503111,Creep - by Radiohead,playlist_name,0.18333333333333332
gemma2-9b-it,503111,Tokyo (Vampires & Wolves) - by The Wombats,playlist_name,0.06666666666666667
gemma2-9b-it,514877,Africa - by Toto,playlist_name,0.13333333333333333
gemma2-9b-it,514877,Any Way You Want It - by Journey,playlist_name,0.08333333333333333
gemma2-9b-it,514877,Bohemian Rhapsody - by Queen,playlist_name,0.18333333333333332
gemma2-9b-it,514877,Lose Yourself - by Eminem,playlist_name,0.16666666666666666
gemma2-9b-it,517612,Bohemian Rhapsody - by Queen,playlist_name,-0.16666666666666666
gemma2-9b-it,517612,Mo Money Mo Problems - by The Notorious B.I.G. feat. Mase & Puff Daddy,playlist_name,-0.016666666666666666
gemma2-9b-it,517612,No Scrubs - by TLC,playlist_name,0.05
gemma2-9b-it,517612,Wonderwall - by Oasis,playlist_name,-0.21666666666666665
gemma2-9b-it,518425,Bésame Mucho - by Consuelo Velázquez,playlist_name,-0.08333333333333334
gemma2-9b-it,518425,Despacito - by Luis Fonsi ft. Daddy Yankee,playlist_name,0.08333333333333333
gemma2-9b-it,518425,La Bamba - by Ritchie Valens,playlist_name,0.09999999999999999
gemma2-9b-it,518425,Te Amo - by Pablo Milanés,playlist_name,0.19999999999999998
gemma2-9b-it,523577,Mr. Brightside - by The Killers,playlist_name,0.5666666666666667
gemma2-9b-it,523577,Riverside - by Agnes Obel,playlist_name,0.41666666666666663
gemma2-9b-it,523577,Seven Nation Army - by The White Stripes,playlist_name,0.21666666666666665
gemma2-9b-it,523577,Skinny Love - by Bon Iver,playlist_name,0.5833333333333333
gemma2-9b-it,533893,Bohemian Rhapsody - by Queen,playlist_name,-0.24999999999999997
gemma2-9b-it,533893,Don't Start Now - by Dua Lipa,playlist_name,0.21666666666666667
gemma2-9b-it,533893,Hallelujah - by Leonard Cohen,playlist_name,0.8999999999999999
gemma2-9b-it,533893,The Business - by Tiësto,playlist_name,0.31666666666666665
gemma2-9b-it,541281,Apocalypse - by Cigarettes After Sex,playlist_name,0.36666666666666664
gemma2-9b-it,541281,Happy - by Pharrell Williams,playlist_name,0.6166666666666666
gemma2-9b-it,541281,Motion Sickness - by Phoebe Bridgers,playlist_name,0.3333333333333333
gemma2-9b-it,541281,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.5333333333333333
gemma2-9b-it,543542,Fake Empire - by The National,playlist_name,0.0
gemma2-9b-it,543542,Happy - by Pharrell Williams,playlist_name,0.16666666666666666
gemma2-9b-it,543542,Mr. Brightside - by The Killers,playlist_name,0.15
gemma2-9b-it,543542,Wolves - by Rise Against,playlist_name,0.0
gemma2-9b-it,553023,Fake Plastic Trees - by Radiohead,playlist_name,0.26666666666666666
gemma2-9b-it,553023,Mr. Brightside - by The Killers,playlist_name,0.6333333333333333
gemma2-9b-it,553023,Seven Nation Army - by The White Stripes,playlist_name,0.3833333333333333
gemma2-9b-it,553023,Such Great Heights - by The Postal Service,playlist_name,0.5833333333333333
gemma2-9b-it,560540,Bohemian Rhapsody - by Queen,playlist_name,0.03333333333333333
gemma2-9b-it,560540,Hallelujah - by Leonard Cohen,playlist_name,0.7333333333333333
gemma2-9b-it,560540,Nuthin' but a 'G' Thang - by Dr. Dre feat. Snoop Dogg,playlist_name,0.18333333333333332
gemma2-9b-it,560540,The Next Episode - by Dr. Dre feat. Snoop Dogg,playlist_name,0.18333333333333332
gemma2-9b-it,579339,Broken - by Seether,playlist_name,-0.05
gemma2-9b-it,579339,Despacito - by Luis Fonsi ft. Daddy Yankee,playlist_name,0.05000000000000001
gemma2-9b-it,579339,Happy - by Pharrell Williams,playlist_name,0.19999999999999998
gemma2-9b-it,579339,The Diary of Jane - by Breaking Benjamin,playlist_name,0.23333333333333334
gemma2-9b-it,602692,Bohemian Rhapsody - by Queen,playlist_name,0.16666666666666666
gemma2-9b-it,602692,Despacito - by Luis Fonsi ft. Daddy Yankee,playlist_name,0.7833333333333332
gemma2-9b-it,602692,Hotel California - by Eagles,playlist_name,0.3
gemma2-9b-it,602692,Vivir Mi Vida - by Marc Anthony,playlist_name,0.25
gemma2-9b-it,604424,Bachata en Fukuoka - by Prince Royce,playlist_name,0.7333333333333333
gemma2-9b-it,604424,Despacito - by Luis Fonsi ft. Daddy Yankee,playlist_name,0.3
gemma2-9b-it,604424,El Perdedor - by Romeo Santos,playlist_name,0.16666666666666666
gemma2-9b-it,604424,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.03333333333333331
gemma2-9b-it,611405,Little Talks - by Of Monsters and Men,playlist_name,0.06666666666666667
gemma2-9b-it,611405,Mr. Brightside - by The Killers,playlist_name,0.18333333333333332
gemma2-9b-it,611405,Seven Nation Army - by The White Stripes,playlist_name,0.13333333333333333
gemma2-9b-it,611405,Tokyo (Vampires & Wolves) - by The Wombats,playlist_name,0.05
gemma2-9b-it,625525,Alright - by Kendrick Lamar,playlist_name,0.03333333333333333
gemma2-9b-it,625525,Bohemian Rhapsody - by Queen,playlist_name,-0.016666666666666666
gemma2-9b-it,625525,Clair de Lune - by Claude Debussy,playlist_name,0.4
gemma2-9b-it,625525,Don't Start Now - by Dua Lipa,playlist_name,0.03333333333333334
gemma2-9b-it,645145,Happy - by Pharrell Williams,playlist_name,0.5666666666666667
gemma2-9b-it,645145,Mr. Brightside - by The Killers,playlist_name,-0.15
gemma2-9b-it,645145,The Ultraviolence - by Lana Del Rey,playlist_name,0.13333333333333333
gemma2-9b-it,645145,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.9666666666666666
gemma2-9b-it,648591,Bohemian Rhapsody - by Queen,playlist_name,-0.016666666666666663
gemma2-9b-it,648591,Hallelujah - by Leonard Cohen,playlist_name,0.44999999999999996
gemma2-9b-it,648591,The Rat - by The Replacements,playlist_name,0.19999999999999998
gemma2-9b-it,648591,The Reeling - by Passion Pit,playlist_name,0.19999999999999998
gemma2-9b-it,651504,Can't Stop the Feeling! - by Justin Timberlake,playlist_name,0.21666666666666667
gemma2-9b-it,651504,Mr. Brightside - by The Killers,playlist_name,0.2833333333333333
gemma2-9b-it,651504,Riptide - by Vance Joy,playlist_name,0.06666666666666667
gemma2-9b-it,651504,Skinny Love - by Bon Iver,playlist_name,0.08333333333333334
gemma2-9b-it,656595,Let's Get It On - by Marvin Gaye,playlist_name,0.04999999999999999
gemma2-9b-it,656595,Mr. Brightside - by The Killers,playlist_name,0.44999999999999996
gemma2-9b-it,656595,Sexual Healing - by Marvin Gaye,playlist_name,0.08333333333333334
gemma2-9b-it,656595,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.43333333333333335
gemma2-9b-it,659472,Bohemian Rhapsody - by Queen,playlist_name,0.06666666666666667
gemma2-9b-it,659472,Party Rock Anthem - by LMFAO,playlist_name,0.08333333333333333
gemma2-9b-it,659472,Stairway to Heaven - by Led Zeppelin,playlist_name,0.31666666666666665
gemma2-9b-it,659472,Teenage Dream - by Katy Perry,playlist_name,0.4666666666666667
gemma2-9b-it,689590,HUMBLE. - by Kendrick Lamar,playlist_name,0.3833333333333333
gemma2-9b-it,689590,Happy - by Pharrell Williams,playlist_name,-0.1
gemma2-9b-it,689590,The Hills - by The Weeknd,playlist_name,0.3
gemma2-9b-it,689590,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.8166666666666665
gemma2-9b-it,693751,Creep - by Radiohead,playlist_name,0.7333333333333333
gemma2-9b-it,693751,Good Feeling - by Flo Rida,playlist_name,0.3
gemma2-9b-it,693751,Hallelujah - by Leonard Cohen,playlist_name,0.9833333333333332
gemma2-9b-it,693751,Uptown Funk - by Mark Ronson ft. Bruno Mars,playlist_name,0.4833333333333333
gemma2-9b-it,699107,Bohemian Rhapsody - by Queen,playlist_name,0.19999999999999998
gemma2-9b-it,699107,Party in the U.S.A. - by Miley Cyrus,playlist_name,0.16666666666666666
gemma2-9b-it,699107,Stairway to Heaven - by Led Zeppelin,playlist_name,0.26666666666666666
gemma2-9b-it,699107,The Greatest - by Sia,playlist_name,-0.05
gemma2-9b-it,701065,Can't Hold Us - by Macklemore & Ryan Lewis feat. Ray Dalton,playlist_name,0.43333333333333335
gemma2-9b-it,701065,Clair de Lune - by Claude Debussy,playlist_name,0.9333333333333332
gemma2-9b-it,701065,Hallelujah - by Leonard Cohen,playlist_name,0.21666666666666667
gemma2-9b-it,701065,Titanium - by David Guetta feat. Sia,playlist_name,0.31666666666666665
gemma2-9b-it,727748,Clair de Lune - by Claude Debussy,playlist_name,0.6666666666666666
gemma2-9b-it,727748,Someone Like You - by Adele,playlist_name,0.26666666666666666
gemma2-9b-it,727748,The Anthem - by Good Charlotte,playlist_name,-0.06666666666666667
gemma2-9b-it,727748,Welcome to the Black Parade - by My Chemical Romance,playlist_name,0.44999999999999996
gemma2-9b-it,727909,Despacito - by Luis Fonsi ft. Daddy Yankee,playlist_name,-0.08333333333333334
gemma2-9b-it,727909,Fallen Angels - by Black Veil Brides,playlist_name,0.04999999999999999
gemma2-9b-it,727909,Happy - by Pharrell Williams,playlist_name,0.0
gemma2-9b-it,727909,The Diary of Jane - by Breaking Benjamin,playlist_name,0.18333333333333332
gemma2-9b-it,750353,Drop It Low - by Ester Dean,playlist_name,0.18333333333333332
gemma2-9b-it,750353,Hallelujah - by Leonard Cohen,playlist_name,0.24999999999999997
gemma2-9b-it,750353,Someone Like You - by Adele,playlist_name,0.5499999999999999
gemma2-9b-it,750353,Turn Down for What - by DJ Snake & Lil Jon,playlist_name,0.21666666666666667
gemma2-9b-it,751832,Blurred Lines - by Robin Thicke ft. T.I. and Pharrell,playlist_name,0.6166666666666666
