ranking,model,uid,recommendation
"[{'name': 'liked_book_1', 'value': 'Report From Engine Co. 82 - by Dennis Smith'}, {'name': 'liked_book_3', 'value': 'Stupid White Men : ...And Other Sorry Excuses for the State of the Nation! - by Michael Moore'}, {'name': 'liked_book_2', 'value': '48 shades of brown - by Nick Earls'}, {'name': 'disliked_book_1', 'value': 'Lonely Planet Australia (Lonely Planet Australia) - by Paul Harding'}, {'name': 'disliked_book_2', 'value': 'Pelicans and Chihuahus and Other Urban Legends: Talking About Folklore (Uqp Paperbacks) - by William Neville Scott'}, {'name': 'disliked_book_3', 'value': 'The Starr Evidence - by Bill Clinton'}]",gemma2-9b-it,12122,The Girl on the Train - by Paula Hawkins
"[{'name': 'liked_book_1', 'value': 'Report From Engine Co. 82 - by Dennis Smith'}, {'name': 'liked_book_2', 'value': '48 shades of brown - by Nick Earls'}, {'name': 'liked_book_3', 'value': 'Stupid White Men : ...And Other Sorry Excuses for the State of the Nation! - by Michael Moore'}, {'name': 'disliked_book_1', 'value': 'Lonely Planet Australia (Lonely Planet Australia) - by Paul Harding'}, {'name': 'disliked_book_2', 'value': 'Pelicans and Chihuahus and Other Urban Legends: Talking About Folklore (Uqp Paperbacks) - by William Neville Scott'}, {'name': 'disliked_book_3', 'value': 'The Starr Evidence - by Bill Clinton'}]",gemma2-9b-it,12122,The Nickel Boys - by Colson Whitehead
"[{'name': 'liked_book_2', 'value': 'Dragon Wing (The Death Gate Cycle, Book 1) - by Margaret Weis'}, {'name': 'liked_book_1', 'value': 'Replay - by Ken Grimwood'}, {'name': 'disliked_book_1', 'value': 'Prelude to Foundation (Foundation Novels (Paperback)) - by ISAAC ASIMOV'}, {'name': 'disliked_book_2', 'value': 'Stardoc: A Novel (Stardoc (Paperback)) - by S. L. Viehl'}, {'name': 'liked_book_3', 'value': 'Carnivores of Light and Darkness (Journeys of the Catechist , Book 1) - by Alan Dean Foster'}, {'name': 'disliked_book_3', 'value': 'Soothsayer - by Mike Resnick'}]",gemma2-9b-it,14998,Dune - by Frank Herbert
"[{'name': 'liked_book_1', 'value': 'Replay - by Ken Grimwood'}, {'name': 'liked_book_2', 'value': 'Dragon Wing (The Death Gate Cycle, Book 1) - by Margaret Weis'}, {'name': 'liked_book_3', 'value': 'Carnivores of Light and Darkness (Journeys of the Catechist , Book 1) - by Alan Dean Foster'}, {'name': 'disliked_book_1', 'value': 'Prelude to Foundation (Foundation Novels (Paperback)) - by ISAAC ASIMOV'}, {'name': 'disliked_book_2', 'value': 'Stardoc: A Novel (Stardoc (Paperback)) - by S. L. Viehl'}, {'name': 'disliked_book_3', 'value': 'Soothsayer - by Mike Resnick'}]",gemma2-9b-it,14998,The Chronicles of Amber - by Roger Zelazny
"[{'name': 'liked_book_1', 'value': 'Replay - by Ken Grimwood'}, {'name': 'liked_book_2', 'value': 'Dragon Wing (The Death Gate Cycle, Book 1) - by Margaret Weis'}, {'name': 'disliked_book_1', 'value': 'Prelude to Foundation (Foundation Novels (Paperback)) - by ISAAC ASIMOV'}, {'name': 'disliked_book_2', 'value': 'Stardoc: A Novel (Stardoc (Paperback)) - by S. L. Viehl'}, {'name': 'liked_book_3', 'value': 'Carnivores of Light and Darkness (Journeys of the Catechist , Book 1) - by Alan Dean Foster'}, {'name': 'disliked_book_3', 'value': 'Soothsayer - by Mike Resnick'}]",gemma2-9b-it,14998,The Hitchhiker's Guide to the Galaxy - by Douglas Adams
"[{'name': 'liked_book_1', 'value': 'Replay - by Ken Grimwood'}, {'name': 'liked_book_2', 'value': 'Dragon Wing (The Death Gate Cycle, Book 1) - by Margaret Weis'}, {'name': 'liked_book_3', 'value': 'Carnivores of Light and Darkness (Journeys of the Catechist , Book 1) - by Alan Dean Foster'}, {'name': 'disliked_book_1', 'value': 'Prelude to Foundation (Foundation Novels (Paperback)) - by ISAAC ASIMOV'}, {'name': 'disliked_book_2', 'value': 'Stardoc: A Novel (Stardoc (Paperback)) - by S. L. Viehl'}, {'name': 'disliked_book_3', 'value': 'Soothsayer - by Mike Resnick'}]",gemma2-9b-it,14998,The Time Machine - by H.G. Wells
"[{'name': 'liked_book_1', 'value': 'Sex & the City - by Candace Bushnell'}, {'name': 'disliked_book_1', 'value': 'Tom, Dick, and Debbie Harry - by Jessica Adams'}, {'name': 'liked_book_2', 'value': '84 Charing Cross Road - by Helene Hanff'}, {'name': 'liked_book_3', 'value': 'As Nature Made Him : The Boy Who Was Raised as a Girl - by John Colapinto'}, {'name': 'disliked_book_2', 'value': 'Unreliable Memoirs - by Clive James'}, {'name': 'disliked_book_3', 'value': 'New Windmills: Across the Barricades (New Windmills) - by Joan Lingard'}]",gemma2-9b-it,15957,Fifty Shades of Grey - by E. L. James
"[{'name': 'liked_book_1', 'value': 'Sex & the City - by Candace Bushnell'}, {'name': 'liked_book_2', 'value': '84 Charing Cross Road - by Helene Hanff'}, {'name': 'liked_book_3', 'value': 'As Nature Made Him : The Boy Who Was Raised as a Girl - by John Colapinto'}, {'name': 'disliked_book_1', 'value': 'Tom, Dick, and Debbie Harry - by Jessica Adams'}, {'name': 'disliked_book_2', 'value': 'Unreliable Memoirs - by Clive James'}, {'name': 'disliked_book_3', 'value': 'New Windmills: Across the Barricades (New Windmills) - by Joan Lingard'}]",gemma2-9b-it,15957,The Da Vinci Code - by Dan Brown
"[{'name': 'liked_book_1', 'value': 'Sex & the City - by Candace Bushnell'}, {'name': 'liked_book_2', 'value': '84 Charing Cross Road - by Helene Hanff'}, {'name': 'disliked_book_1', 'value': 'Tom, Dick, and Debbie Harry - by Jessica Adams'}, {'name': 'disliked_book_2', 'value': 'Unreliable Memoirs - by Clive James'}, {'name': 'liked_book_3', 'value': 'As Nature Made Him : The Boy Who Was Raised as a Girl - by John Colapinto'}, {'name': 'disliked_book_3', 'value': 'New Windmills: Across the Barricades (New Windmills) - by Joan Lingard'}]",gemma2-9b-it,15957,The Devil Wears Prada - by Lauren Weisberger
"[{'name': 'liked_book_1', 'value': 'Sex & the City - by Candace Bushnell'}, {'name': 'liked_book_2', 'value': '84 Charing Cross Road - by Helene Hanff'}, {'name': 'liked_book_3', 'value': 'As Nature Made Him : The Boy Who Was Raised as a Girl - by John Colapinto'}, {'name': 'disliked_book_1', 'value': 'Tom, Dick, and Debbie Harry - by Jessica Adams'}, {'name': 'disliked_book_2', 'value': 'Unreliable Memoirs - by Clive James'}, {'name': 'disliked_book_3', 'value': 'New Windmills: Across the Barricades (New Windmills) - by Joan Lingard'}]",gemma2-9b-it,15957,The Guernsey Literary and Potato Peel Pie Society - by Mary Ann Shaffer
"[{'name': 'liked_book_2', 'value': 'Old Curiosity Shop (Wordsworth Collection) - by Charles Dickens'}, {'name': 'liked_book_1', 'value': ""Tess of the D'Urbervilles (Wordsworth Classics) - by Thomas Hardy""}, {'name': 'liked_book_3', 'value': 'The Fellowship of the Ring (The Lord of the Rings, Part 1) - by J.R.R. TOLKIEN'}, {'name': 'disliked_book_3', 'value': 'Adventures of Huckleberry Finn - by Mark Twain'}, {'name': 'disliked_book_2', 'value': ""Island of the Blue Dolphins - by SCOTT O'DELL""}, {'name': 'disliked_book_1', 'value': 'Source of Everyday Things - by Aldren Watson'}]",gemma2-9b-it,16777,A Tale of Two Cities - by Charles Dickens
"[{'name': 'liked_book_1', 'value': ""Tess of the D'Urbervilles (Wordsworth Classics) - by Thomas Hardy""}, {'name': 'liked_book_2', 'value': 'Old Curiosity Shop (Wordsworth Collection) - by Charles Dickens'}, {'name': 'liked_book_3', 'value': 'The Fellowship of the Ring (The Lord of the Rings, Part 1) - by J.R.R. TOLKIEN'}, {'name': 'disliked_book_3', 'value': 'Adventures of Huckleberry Finn - by Mark Twain'}, {'name': 'disliked_book_2', 'value': ""Island of the Blue Dolphins - by SCOTT O'DELL""}, {'name': 'disliked_book_1', 'value': 'Source of Everyday Things - by Aldren Watson'}]",gemma2-9b-it,16777,Far From the Madding Crowd - by Thomas Hardy
"[{'name': 'liked_book_1', 'value': ""Tess of the D'Urbervilles - by Thomas Hardy""}, {'name': 'liked_book_2', 'value': 'Old Curiosity Shop - by Charles Dickens'}, {'name': 'liked_book_3', 'value': 'The Fellowship of the Ring - by J.R.R. TOLKIEN'}, {'name': 'disliked_book_3', 'value': 'Adventures of Huckleberry Finn - by Mark Twain'}, {'name': 'disliked_book_1', 'value': 'Source of Everyday Things - by Aldren Watson'}, {'name': 'disliked_book_2', 'value': ""Island of the Blue Dolphins - by SCOTT O'DELL""}]",gemma2-9b-it,16777,The Da Vinci Code - by Dan Brown
"[{'name': 'liked_book_3', 'value': 'The Fellowship of the Ring (The Lord of the Rings, Part 1) - by J.R.R. TOLKIEN'}, {'name': 'liked_book_1', 'value': ""Tess of the D'Urbervilles (Wordsworth Classics) - by Thomas Hardy""}, {'name': 'liked_book_2', 'value': 'Old Curiosity Shop (Wordsworth Collection) - by Charles Dickens'}, {'name': 'disliked_book_3', 'value': 'Adventures of Huckleberry Finn - by Mark Twain'}, {'name': 'disliked_book_2', 'value': ""Island of the Blue Dolphins - by SCOTT O'DELL""}, {'name': 'disliked_book_1', 'value': 'Source of Everyday Things - by Aldren Watson'}]",gemma2-9b-it,16777,The Hitchhiker's Guide to the Galaxy - by Douglas Adams
"[{'name': 'disliked_book_1', 'value': ""Brian's Winter - by GARY PAULSEN""}, {'name': 'liked_book_1', 'value': ""The Sorcerer's Academy - by Denise Little""}, {'name': 'liked_book_2', 'value': 'Hearts In Atlantis : New Fiction - by Stephen King'}, {'name': 'liked_book_3', 'value': 'Avatar Book Two of Two (Star Trek: Deep Space Nine) - by S.D. Perry'}, {'name': 'disliked_book_2', 'value': 'What You Leave Behind (Star Trek Deep Space Nine) - by Diane Carey'}, {'name': 'disliked_book_3', 'value': 'The Nanotech War (Star Trek Voyager) - by Steven Piziks'}]",gemma2-9b-it,19760,Hatchet - by Gary Paulsen
"[{'name': 'liked_book_1', 'value': ""The Sorcerer's Academy - by Denise Little""}, {'name': 'liked_book_3', 'value': 'Avatar Book Two of Two (Star Trek: Deep Space Nine) - by S.D. Perry'}, {'name': 'liked_book_2', 'value': 'Hearts In Atlantis : New Fiction - by Stephen King'}, {'name': 'disliked_book_2', 'value': 'What You Leave Behind (Star Trek Deep Space Nine) - by Diane Carey'}, {'name': 'disliked_book_3', 'value': 'The Nanotech War (Star Trek Voyager) - by Steven Piziks'}, {'name': 'disliked_book_1', 'value': ""Brian's Winter - by GARY PAULSEN""}]",gemma2-9b-it,19760,The Lies of Locke Lamora - by Scott Lynch
"[{'name': 'disliked_book_1', 'value': ""Brian's Winter - by GARY PAULSEN""}, {'name': 'disliked_book_3', 'value': 'The Nanotech War (Star Trek Voyager) - by Steven Piziks'}, {'name': 'liked_book_3', 'value': 'Avatar Book Two of Two (Star Trek: Deep Space Nine) - by S.D. Perry'}, {'name': 'liked_book_1', 'value': ""The Sorcerer's Academy - by Denise Little""}, {'name': 'liked_book_2', 'value': 'Hearts In Atlantis : New Fiction - by Stephen King'}, {'name': 'disliked_book_2', 'value': 'What You Leave Behind (Star Trek Deep Space Nine) - by Diane Carey'}]",gemma2-9b-it,19760,The Lost Symbol - by Dan Brown
"[{'name': 'liked_book_1', 'value': ""The Sorcerer's Academy - by Denise Little""}, {'name': 'liked_book_3', 'value': 'Avatar Book Two of Two (Star Trek: Deep Space Nine) - by S.D. Perry'}, {'name': 'liked_book_2', 'value': 'Hearts In Atlantis : New Fiction - by Stephen King'}, {'name': 'disliked_book_1', 'value': ""Brian's Winter - by GARY PAULSEN""}, {'name': 'disliked_book_2', 'value': 'What You Leave Behind (Star Trek Deep Space Nine) - by Diane Carey'}, {'name': 'disliked_book_3', 'value': 'The Nanotech War (Star Trek Voyager) - by Steven Piziks'}]",gemma2-9b-it,19760,The Name of the Wind - by Patrick Rothfuss
"[{'name': 'disliked_book_1', 'value': 'Trading in Danger - by ELIZABETH MOON'}, {'name': 'disliked_book_3', 'value': 'Pompeii: A Novel - by ROBERT HARRIS'}, {'name': 'liked_book_2', 'value': 'Exit Wounds : A Novel of Suspense (Jance, Ja) - by J. A. Jance'}, {'name': 'liked_book_3', 'value': ""Schindler's List - by Thomas Keneally""}, {'name': 'disliked_book_2', 'value': 'Middle of Nowhere - by Ridley Pearson'}, {'name': 'liked_book_1', 'value': 'The Fall of Neskaya (The Clingfire Trilogy, Book 1) - by Marion Zimmer Bradley'}]",gemma2-9b-it,27740,The Da Vinci Code - by Dan Brown
"[{'name': 'liked_book_1', 'value': 'The Fall of Neskaya (The Clingfire Trilogy, Book 1) - by Marion Zimmer Bradley'}, {'name': 'liked_book_2', 'value': 'Exit Wounds : A Novel of Suspense (Jance, Ja) - by J. A. Jance'}, {'name': 'liked_book_3', 'value': ""Schindler's List - by Thomas Keneally""}, {'name': 'disliked_book_1', 'value': 'Trading in Danger - by ELIZABETH MOON'}, {'name': 'disliked_book_2', 'value': 'Middle of Nowhere - by Ridley Pearson'}, {'name': 'disliked_book_3', 'value': 'Pompeii: A Novel - by ROBERT HARRIS'}]",gemma2-9b-it,27740,The Mists of Avalon - by Marion Zimmer Bradley
"[{'name': 'disliked_book_1', 'value': 'Trading in Danger - by ELIZABETH MOON'}, {'name': 'disliked_book_3', 'value': 'Pompeii: A Novel - by ROBERT HARRIS'}, {'name': 'liked_book_2', 'value': 'Exit Wounds : A Novel of Suspense (Jance, Ja) - by J. A. Jance'}, {'name': 'liked_book_3', 'value': ""Schindler's List - by Thomas Keneally""}, {'name': 'liked_book_1', 'value': 'The Fall of Neskaya (The Clingfire Trilogy, Book 1) - by Marion Zimmer Bradley'}, {'name': 'disliked_book_2', 'value': 'Middle of Nowhere - by Ridley Pearson'}]",gemma2-9b-it,27740,The Moon is a Harsh Mistress - by Robert Heinlein
"[{'name': 'liked_book_2', 'value': 'Exit Wounds : A Novel of Suspense (Jance, Ja) - by J. A. Jance'}, {'name': 'liked_book_3', 'value': ""Schindler's List - by Thomas Keneally""}, {'name': 'disliked_book_3', 'value': 'Pompeii: A Novel - by ROBERT HARRIS'}, {'name': 'disliked_book_1', 'value': 'Trading in Danger - by ELIZABETH MOON'}, {'name': 'disliked_book_2', 'value': 'Middle of Nowhere - by Ridley Pearson'}, {'name': 'liked_book_1', 'value': 'The Fall of Neskaya (The Clingfire Trilogy, Book 1) - by Marion Zimmer Bradley'}]",gemma2-9b-it,27740,The Silent Patient - by Alex Michaelides
"[{'name': 'liked_book_1', 'value': 'The Pillars of Hercules: A Grand Tour of the Mediterranean - by Paul Theroux'}, {'name': 'liked_book_2', 'value': 'James Herriots Yorkshire - by James Herriot'}, {'name': 'liked_book_3', 'value': 'Briefe gegen den Krieg - by Tiziano Terzani'}, {'name': 'disliked_book_2', 'value': 'French Leaves: Letter from the Languedoc - by Christopher Campbell-Howes'}, {'name': 'disliked_book_1', 'value': 'Burmese Days - by George Orwell'}, {'name': 'disliked_book_3', 'value': '9-11 - by Noam Chomsky'}]",gemma2-9b-it,28735,A Walk in the Woods - by Bill Bryson
"[{'name': 'liked_book_1', 'value': 'The Pillars of Hercules: A Grand Tour of the Mediterranean - by Paul Theroux'}, {'name': 'liked_book_2', 'value': 'James Herriots Yorkshire - by James Herriot'}, {'name': 'liked_book_3', 'value': 'Briefe gegen den Krieg - by Tiziano Terzani'}, {'name': 'disliked_book_1', 'value': 'Burmese Days - by George Orwell'}, {'name': 'disliked_book_3', 'value': '9-11 - by Noam Chomsky'}, {'name': 'disliked_book_2', 'value': 'French Leaves: Letter from the Languedoc - by Christopher Campbell-Howes'}]",gemma2-9b-it,28735,The Handmaid's Tale - by Margaret Atwood
"[{'name': 'liked_book_1', 'value': 'The Pillars of Hercules: A Grand Tour of the Mediterranean - by Paul Theroux'}, {'name': 'liked_book_2', 'value': 'James Herriots Yorkshire - by James Herriot'}, {'name': 'liked_book_3', 'value': 'Briefe gegen den Krieg - by Tiziano Terzani'}, {'name': 'disliked_book_1', 'value': 'Burmese Days - by George Orwell'}, {'name': 'disliked_book_2', 'value': 'French Leaves: Letter from the Languedoc - by Christopher Campbell-Howes'}, {'name': 'disliked_book_3', 'value': '9-11 - by Noam Chomsky'}]",gemma2-9b-it,28735,The Road - by Cormac McCarthy
"[{'name': 'liked_book_1', 'value': 'The Pillars of Hercules: A Grand Tour of the Mediterranean - by Paul Theroux'}, {'name': 'liked_book_3', 'value': 'Briefe gegen den Krieg - by Tiziano Terzani'}, {'name': 'liked_book_2', 'value': 'James Herriots Yorkshire - by James Herriot'}, {'name': 'disliked_book_1', 'value': 'Burmese Days - by George Orwell'}, {'name': 'disliked_book_2', 'value': 'French Leaves: Letter from the Languedoc - by Christopher Campbell-Howes'}, {'name': 'disliked_book_3', 'value': '9-11 - by Noam Chomsky'}]",gemma2-9b-it,28735,The Snow Leopard - by Peter Matthiessen
"[{'name': 'liked_book_1', 'value': 'Summer in Eclipse Bay - by Jayne Ann Krentz'}, {'name': 'liked_book_2', 'value': 'Her Baby, His Secret (Men Of Mystery) (Harlequin Intrigue, No. 517) - by Jim Wilson'}, {'name': 'liked_book_3', 'value': ""All the Queen's Men - by Linda Howard""}, {'name': 'disliked_book_1', 'value': 'His Secret Duchess (Harlequin Historical Romances, No 393) - by Jim Wilson'}, {'name': 'disliked_book_2', 'value': ""Mackenzie'S Pleasure (Silhouette Intimate Moments, No 691) - by Linda Howard""}, {'name': 'disliked_book_3', 'value': 'Dearly Beloved - by Wendy Corsi Staub'}]",gemma2-9b-it,30276,Gone Girl - by Gillian Flynn
"[{'name': 'liked_book_1', 'value': 'Summer in Eclipse Bay - by Jayne Ann Krentz'}, {'name': 'liked_book_3', 'value': ""All the Queen's Men - by Linda Howard""}, {'name': 'liked_book_2', 'value': 'Her Baby, His Secret (Men Of Mystery) (Harlequin Intrigue, No. 517) - by Jim Wilson'}, {'name': 'disliked_book_2', 'value': ""Mackenzie'S Pleasure (Silhouette Intimate Moments, No 691) - by Linda Howard""}, {'name': 'disliked_book_1', 'value': 'His Secret Duchess (Harlequin Historical Romances, No 393) - by Jim Wilson'}, {'name': 'disliked_book_3', 'value': 'Dearly Beloved - by Wendy Corsi Staub'}]",gemma2-9b-it,30276,The Last Mrs. Parrish - by Liv Constantine
"[{'name': 'liked_book_1', 'value': 'Summer in Eclipse Bay - by Jayne Ann Krentz'}, {'name': 'liked_book_2', 'value': 'Her Baby, His Secret (Men Of Mystery) (Harlequin Intrigue, No. 517) - by Jim Wilson'}, {'name': 'liked_book_3', 'value': ""All the Queen's Men - by Linda Howard""}, {'name': 'disliked_book_1', 'value': 'His Secret Duchess (Harlequin Historical Romances, No 393) - by Jim Wilson'}, {'name': 'disliked_book_2', 'value': ""Mackenzie'S Pleasure (Silhouette Intimate Moments, No 691) - by Linda Howard""}, {'name': 'disliked_book_3', 'value': 'Dearly Beloved - by Wendy Corsi Staub'}]",gemma2-9b-it,30276,The Nightingale - by Kristin Hannah
"[{'name': 'liked_book_1', 'value': 'Summer in Eclipse Bay - by Jayne Ann Krentz'}, {'name': 'liked_book_3', 'value': ""All the Queen's Men - by Linda Howard""}, {'name': 'liked_book_2', 'value': 'Her Baby, His Secret (Men Of Mystery) (Harlequin Intrigue, No. 517) - by Jim Wilson'}, {'name': 'disliked_book_2', 'value': ""Mackenzie'S Pleasure (Silhouette Intimate Moments, No 691) - by Linda Howard""}, {'name': 'disliked_book_1', 'value': 'His Secret Duchess (Harlequin Historical Romances, No 393) - by Jim Wilson'}, {'name': 'disliked_book_3', 'value': 'Dearly Beloved - by Wendy Corsi Staub'}]",gemma2-9b-it,30276,The Secret Keeper - by Kate Morton
"[{'name': 'disliked_book_1', 'value': ""L'isola del giorno prima""}, {'name': 'disliked_book_2', 'value': ""Garzanti - Gli Elefanti: L'idiota""}, {'name': 'liked_book_1', 'value': ""La Rabbia E L'Orgoglio""}, {'name': 'liked_book_2', 'value': 'Le Ore'}, {'name': 'disliked_book_3', 'value': 'D Amore E Ombra'}, {'name': 'liked_book_3', 'value': 'GesÃ¹ e le donne'}]",gemma2-9b-it,37034,The Da Vinci Code - by Dan Brown
"[{'name': 'liked_book_2', 'value': 'Le Ore - by Micheal Cunningham'}, {'name': 'liked_book_1', 'value': ""La Rabbia E L'Orgoglio - by Oriana Fallaci""}, {'name': 'liked_book_3', 'value': 'GesÃ¹ e le donne - by Marco Garzonio'}, {'name': 'disliked_book_1', 'value': ""L'isola del giorno prima - by Umberto Eco""}, {'name': 'disliked_book_2', 'value': ""Garzanti - Gli Elefanti: L'idiota - by Dostoevskij""}, {'name': 'disliked_book_3', 'value': 'D Amore E Ombra - by Isabel Allende'}]",gemma2-9b-it,37034,The Elegance of the Hedgehog - by  Muriel Barbery
"[{'name': 'liked_book_2', 'value': 'Le Ore - by Micheal Cunningham'}, {'name': 'liked_book_1', 'value': ""La Rabbia E L'Orgoglio - by Oriana Fallaci""}, {'name': 'liked_book_3', 'value': 'GesÃ¹ e le donne - by Marco Garzonio'}, {'name': 'disliked_book_1', 'value': ""L'isola del giorno prima - by Umberto Eco""}, {'name': 'disliked_book_2', 'value': ""Garzanti - Gli Elefanti: L'idiota - by Dostoevskij""}, {'name': 'disliked_book_3', 'value': 'D Amore E Ombra - by Isabel Allende'}]",gemma2-9b-it,37034,The Hitchhiker's Guide to the Galaxy - by Douglas Adams
