ranking,model,pid,recommendation
"[{'name': 'song_2', 'value': 'Say Hey - by Branford Marsalis Quartet'}, {'name': 'song_3', 'value': 'Knocked Out The Box - by Branford Marsalis Quartet'}, {'name': 'song_4', 'value': 'Again Never - by Branford Marsalis Quartet'}, {'name': 'song_5', 'value': ""Mo' Better Blues - by Branford Marsalis Quartet""}, {'name': 'playlist_name', 'value': 'jazz'}, {'name': 'song_1', 'value': 'Desafinado - Stereo Version - by Stan Getz'}]",gemma2-9b-it,47551,Take Five - by Dave Brubeck Quartet
"[{'name': 'playlist_name', 'value': 'jazz'}, {'name': 'song_1', 'value': 'Desafinado - Stereo Version - by Stan Getz'}, {'name': 'song_2', 'value': 'Say Hey - by Branford Marsalis Quartet'}, {'name': 'song_3', 'value': 'Knocked Out The Box - by Branford Marsalis Quartet'}, {'name': 'song_4', 'value': 'Again Never - by Branford Marsalis Quartet'}, {'name': 'song_5', 'value': ""Mo' Better Blues - by Branford Marsalis Quartet""}]",gemma2-9b-it,47551,The Girl from Ipanema - by Astrud Gilberto
"[{'name': 'song_3', 'value': 'CAN\'T STOP THE FEELING! (Original Song from DreamWorks Animation\'s ""TROLLS"") - by Justin Timberlake'}, {'name': 'song_1', 'value': 'Shower - by Becky G'}, {'name': 'song_2', 'value': 'Halo - by Beyoncé'}, {'name': 'song_4', 'value': ""I'm the One - by DJ Khaled""}, {'name': 'song_5', 'value': 'Sign of the Times - by Harry Styles'}, {'name': 'playlist_name', 'value': 'shower🚿'}]",gemma2-9b-it,66462,Jump Around - by House of Pain
"[{'name': 'song_3', 'value': 'CAN\'T STOP THE FEELING! (Original Song from DreamWorks Animation\'s ""TROLLS"") - by Justin Timberlake'}, {'name': 'song_1', 'value': 'Shower - by Becky G'}, {'name': 'song_2', 'value': 'Halo - by Beyoncé'}, {'name': 'song_4', 'value': ""I'm the One - by DJ Khaled""}, {'name': 'playlist_name', 'value': 'shower🚿'}, {'name': 'song_5', 'value': 'Sign of the Times - by Harry Styles'}]",gemma2-9b-it,66462,Mr. Brightside - by The Killers
"[{'name': 'song_2', 'value': 'Halo - by Beyoncé'}, {'name': 'song_5', 'value': 'Sign of the Times - by Harry Styles'}, {'name': 'playlist_name', 'value': 'shower🚿'}, {'name': 'song_1', 'value': 'Shower - by Becky G'}, {'name': 'song_3', 'value': 'CAN\'T STOP THE FEELING! (Original Song from DreamWorks Animation\'s ""TROLLS"") - by Justin Timberlake'}, {'name': 'song_4', 'value': ""I'm the One - by DJ Khaled""}]",gemma2-9b-it,66462,The Scientist - by Coldplay
"[{'name': 'playlist_name', 'value': 'shower🚿'}, {'name': 'song_1', 'value': 'Shower - by Becky G'}, {'name': 'song_2', 'value': 'Halo - by Beyoncé'}, {'name': 'song_5', 'value': 'Sign of the Times - by Harry Styles'}, {'name': 'song_3', 'value': 'CAN\'T STOP THE FEELING! (Original Song from DreamWorks Animation\'s ""TROLLS"") - by Justin Timberlake'}, {'name': 'song_4', 'value': ""I'm the One - by DJ Khaled""}]",gemma2-9b-it,66462,Waterfalls - by TLC
"[{'name': 'song_2', 'value': 'Song For Zula'}, {'name': 'song_4', 'value': 'Feels Like We Only Go Backwards'}, {'name': 'song_5', 'value': 'I Need A Forest Fire'}, {'name': 'song_3', 'value': 'Ironworks'}, {'name': 'song_1', 'value': 'Genghis Khan'}, {'name': 'playlist_name', 'value': 'junior year'}]",gemma2-9b-it,70116,Apocalypse - by Cigarettes After Sex
"[{'name': 'song_2', 'value': 'Song For Zula - by Phosphorescent'}, {'name': 'song_3', 'value': 'Ironworks - by Baths'}, {'name': 'song_5', 'value': 'I Need A Forest Fire - by James Blake'}, {'name': 'song_4', 'value': 'Feels Like We Only Go Backwards - by Tame Impala'}, {'name': 'song_1', 'value': 'Genghis Khan - by Miike Snow'}, {'name': 'playlist_name', 'value': 'junior year'}]",gemma2-9b-it,70116,Mr. Brightside - by The Killers
"[{'name': 'song_1', 'value': 'Genghis Khan - by Miike Snow'}, {'name': 'song_4', 'value': 'Feels Like We Only Go Backwards - by Tame Impala'}, {'name': 'song_2', 'value': 'Song For Zula - by Phosphorescent'}, {'name': 'song_5', 'value': 'I Need A Forest Fire - by James Blake'}, {'name': 'song_3', 'value': 'Ironworks - by Baths'}, {'name': 'playlist_name', 'value': 'junior year'}]",gemma2-9b-it,70116,Shelter Song - by  Temples
"[{'name': 'song_2', 'value': 'Song For Zula - by Phosphorescent'}, {'name': 'song_3', 'value': 'Ironworks - by Baths'}, {'name': 'song_5', 'value': 'I Need A Forest Fire - by James Blake'}, {'name': 'song_4', 'value': 'Feels Like We Only Go Backwards - by Tame Impala'}, {'name': 'song_1', 'value': 'Genghis Khan - by Miike Snow'}, {'name': 'playlist_name', 'value': 'junior year'}]",gemma2-9b-it,70116,Uptown Funk - by Mark Ronson ft. Bruno Mars
"[{'name': 'song_4', 'value': ""Hips Don't Lie - by Shakira""}, {'name': 'song_5', 'value': 'Whenever, Wherever - by Shakira'}, {'name': 'song_1', 'value': 'Somebody That I Used To Know - by Gotye'}, {'name': 'song_2', 'value': 'Riptide - by Vance Joy'}, {'name': 'song_3', 'value': 'Confident - by Justin Bieber'}, {'name': 'playlist_name', 'value': 'tunes'}]",gemma2-9b-it,72304,Can't Stop the Feeling! - by Justin Timberlake
"[{'name': 'song_1', 'value': 'Somebody That I Used To Know - by Gotye'}, {'name': 'song_2', 'value': 'Riptide - by Vance Joy'}, {'name': 'playlist_name', 'value': 'tunes'}, {'name': 'song_3', 'value': 'Confident - by Justin Bieber'}, {'name': 'song_4', 'value': ""Hips Don't Lie - by Shakira""}, {'name': 'song_5', 'value': 'Whenever, Wherever - by Shakira'}]",gemma2-9b-it,72304,Chasing Cars - by Snow Patrol
"[{'name': 'song_1', 'value': 'Somebody That I Used To Know - by Gotye'}, {'name': 'song_2', 'value': 'Riptide - by Vance Joy'}, {'name': 'song_3', 'value': 'Confident - by Justin Bieber'}, {'name': 'song_4', 'value': ""Hips Don't Lie - by Shakira""}, {'name': 'song_5', 'value': 'Whenever, Wherever - by Shakira'}, {'name': 'playlist_name', 'value': 'tunes'}]",gemma2-9b-it,72304,The Scientist - by Coldplay
"[{'name': 'song_4', 'value': ""Hips Don't Lie - by Shakira""}, {'name': 'song_5', 'value': 'Whenever, Wherever - by Shakira'}, {'name': 'song_1', 'value': 'Somebody That I Used To Know - by Gotye'}, {'name': 'song_2', 'value': 'Riptide - by Vance Joy'}, {'name': 'song_3', 'value': 'Confident - by Justin Bieber'}, {'name': 'playlist_name', 'value': 'tunes'}]",gemma2-9b-it,72304,Uptown Funk - by Mark Ronson ft. Bruno Mars
"[{'name': 'playlist_name', 'value': 'emo'}, {'name': 'song_1', 'value': 'Symmetry - by Title Fight'}, {'name': 'song_2', 'value': 'Introvert - by Title Fight'}, {'name': 'song_3', 'value': 'No One Stays At The Top Forever - by Title Fight'}, {'name': 'song_4', 'value': 'Memorial Field - by Title Fight'}, {'name': 'song_5', 'value': 'Loud And Clear - by Title Fight'}]",gemma2-9b-it,97461,Happy - by Pharrell Williams
"[{'name': 'playlist_name', 'value': 'emo'}, {'name': 'song_1', 'value': 'Symmetry - by Title Fight'}, {'name': 'song_2', 'value': 'Introvert - by Title Fight'}, {'name': 'song_3', 'value': 'No One Stays At The Top Forever - by Title Fight'}, {'name': 'song_4', 'value': 'Memorial Field - by Title Fight'}, {'name': 'song_5', 'value': 'Loud And Clear - by Title Fight'}]",gemma2-9b-it,97461,Mr. Brightside - by The Killers
"[{'name': 'song_1', 'value': 'Symmetry - by Title Fight'}, {'name': 'song_2', 'value': 'Introvert - by Title Fight'}, {'name': 'song_3', 'value': 'No One Stays At The Top Forever - by Title Fight'}, {'name': 'song_4', 'value': 'Memorial Field - by Title Fight'}, {'name': 'song_5', 'value': 'Loud And Clear - by Title Fight'}, {'name': 'playlist_name', 'value': 'emo'}]",gemma2-9b-it,97461,Shed - by The Hotelier
"[{'name': 'song_1', 'value': 'Symmetry - by Title Fight'}, {'name': 'song_2', 'value': 'Introvert - by Title Fight'}, {'name': 'song_3', 'value': 'No One Stays At The Top Forever - by Title Fight'}, {'name': 'song_4', 'value': 'Memorial Field - by Title Fight'}, {'name': 'song_5', 'value': 'Loud And Clear - by Title Fight'}, {'name': 'playlist_name', 'value': 'emo'}]",gemma2-9b-it,97461,Twin Size Mattress - by The Front Bottoms
"[{'name': 'playlist_name', 'value': 'James Bay'}, {'name': 'song_1', 'value': 'Craving - by James Bay'}, {'name': 'song_2', 'value': 'Hold Back The River - by James Bay'}, {'name': 'song_3', 'value': 'Let It Go - by James Bay'}, {'name': 'song_4', 'value': 'If You Ever Want To Be In Love - by James Bay'}, {'name': 'song_5', 'value': 'Best Fake Smile - by James Bay'}]",gemma2-9b-it,101440,Happy - by Pharrell Williams
"[{'name': 'playlist_name', 'value': 'James Bay'}, {'name': 'song_1', 'value': 'Craving - by James Bay'}, {'name': 'song_2', 'value': 'Hold Back The River - by James Bay'}, {'name': 'song_3', 'value': 'Let It Go - by James Bay'}, {'name': 'song_4', 'value': 'If You Ever Want To Be In Love - by James Bay'}, {'name': 'song_5', 'value': 'Best Fake Smile - by James Bay'}]",gemma2-9b-it,101440,Scars - by James Bay
"[{'name': 'playlist_name', 'value': 'James Bay'}, {'name': 'song_3', 'value': 'Let It Go - by James Bay'}, {'name': 'song_2', 'value': 'Hold Back The River - by James Bay'}, {'name': 'song_1', 'value': 'Craving - by James Bay'}, {'name': 'song_4', 'value': 'If You Ever Want To Be In Love - by James Bay'}, {'name': 'song_5', 'value': 'Best Fake Smile - by James Bay'}]",gemma2-9b-it,101440,Someone You Loved - by Lewis Capaldi
"[{'name': 'playlist_name', 'value': 'James Bay'}, {'name': 'song_1', 'value': 'Craving - by James Bay'}, {'name': 'song_2', 'value': 'Hold Back The River - by James Bay'}, {'name': 'song_3', 'value': 'Let It Go - by James Bay'}, {'name': 'song_4', 'value': 'If You Ever Want To Be In Love - by James Bay'}, {'name': 'song_5', 'value': 'Best Fake Smile - by James Bay'}]",gemma2-9b-it,101440,Us - by James Bay
"[{'name': 'playlist_name', 'value': 'Christian'}, {'name': 'song_1', 'value': 'Overwhelmed - by Big Daddy Weave'}, {'name': 'song_2', 'value': 'Alive - by Building 429'}, {'name': 'song_3', 'value': 'Oohs and Ahhs - by NEEDTOBREATHE'}, {'name': 'song_4', 'value': 'All the People Said Amen - by Matt Maher'}, {'name': 'song_5', 'value': 'Lift My Life Up - by Unspoken'}]",gemma2-9b-it,105584,Bohemian Rhapsody - by Queen
"[{'name': 'playlist_name', 'value': 'Christian'}, {'name': 'song_1', 'value': 'Overwhelmed - by Big Daddy Weave'}, {'name': 'song_2', 'value': 'Alive - by Building 429'}, {'name': 'song_3', 'value': 'Oohs and Ahhs - by NEEDTOBREATHE'}, {'name': 'song_4', 'value': 'All the People Said Amen - by Matt Maher'}, {'name': 'song_5', 'value': 'Lift My Life Up - by Unspoken'}]",gemma2-9b-it,105584,Lose Yourself - by Eminem
"[{'name': 'song_1', 'value': 'Overwhelmed - by Big Daddy Weave'}, {'name': 'song_2', 'value': 'Alive - by Building 429'}, {'name': 'playlist_name', 'value': 'Christian'}, {'name': 'song_4', 'value': 'All the People Said Amen - by Matt Maher'}, {'name': 'song_5', 'value': 'Lift My Life Up - by Unspoken'}, {'name': 'song_3', 'value': 'Oohs and Ahhs - by NEEDTOBREATHE'}]",gemma2-9b-it,105584,Reckless Love - by Cory Asbury
"[{'name': 'playlist_name', 'value': 'Christian'}, {'name': 'song_1', 'value': 'Overwhelmed - by Big Daddy Weave'}, {'name': 'song_4', 'value': 'All the People Said Amen - by Matt Maher'}, {'name': 'song_2', 'value': 'Alive - by Building 429'}, {'name': 'song_5', 'value': 'Lift My Life Up - by Unspoken'}, {'name': 'song_3', 'value': 'Oohs and Ahhs - by NEEDTOBREATHE'}]",gemma2-9b-it,105584,What a Beautiful Name - by Hillsong Worship
"[{'name': 'song_2', 'value': 'Lights Out, Words Gone - by Bombay Bicycle Club'}, {'name': 'song_3', 'value': 'Northern Wind - by City and Colour'}, {'name': 'song_5', 'value': 'You Already Know Feat. Kathryn Williams - by Bombay Bicycle Club'}, {'name': 'song_1', 'value': 'As We Are Now - by Saint Raymond'}, {'name': 'song_4', 'value': 'Bloodlines - by Mimicking Birds'}, {'name': 'playlist_name', 'value': 'vibes'}]",gemma2-9b-it,108488,Apocalypse - by Cigarettes After Sex
"[{'name': 'song_1', 'value': 'As We Are Now - by Saint Raymond'}, {'name': 'song_2', 'value': 'Lights Out, Words Gone - by Bombay Bicycle Club'}, {'name': 'song_3', 'value': 'Northern Wind - by City and Colour'}, {'name': 'song_4', 'value': 'Bloodlines - by Mimicking Birds'}, {'name': 'song_5', 'value': 'You Already Know Feat. Kathryn Williams - by Bombay Bicycle Club'}, {'name': 'playlist_name', 'value': 'vibes'}]",gemma2-9b-it,108488,HUMBLE. - by Kendrick Lamar
"[{'name': 'song_3', 'value': 'Northern Wind - by City and Colour'}, {'name': 'song_4', 'value': 'Bloodlines - by Mimicking Birds'}, {'name': 'song_1', 'value': 'As We Are Now - by Saint Raymond'}, {'name': 'song_2', 'value': 'Lights Out, Words Gone - by Bombay Bicycle Club'}, {'name': 'song_5', 'value': 'You Already Know Feat. Kathryn Williams - by Bombay Bicycle Club'}, {'name': 'playlist_name', 'value': 'vibes'}]",gemma2-9b-it,108488,Mr. Brightside - by The Killers
"[{'name': 'song_1', 'value': 'As We Are Now - by Saint Raymond'}, {'name': 'song_3', 'value': 'Northern Wind - by City and Colour'}, {'name': 'song_2', 'value': 'Lights Out, Words Gone - by Bombay Bicycle Club'}, {'name': 'song_4', 'value': 'Bloodlines - by Mimicking Birds'}, {'name': 'song_5', 'value': 'You Already Know Feat. Kathryn Williams - by Bombay Bicycle Club'}, {'name': 'playlist_name', 'value': 'vibes'}]",gemma2-9b-it,108488,Shelter Song - by  Temples
"[{'name': 'song_3', 'value': 'I Feel Good - by Lil Wayne'}, {'name': 'song_4', 'value': 'Thinking Bout You - by Lil Wayne'}, {'name': 'song_1', 'value': 'Bad Blood - by Taylor Swift'}, {'name': 'song_2', 'value': 'Bad Blood - by Taylor Swift'}, {'name': 'song_5', 'value': 'Make Me Proud - by Drake'}, {'name': 'playlist_name', 'value': 'playlist1'}]",gemma2-9b-it,121994,A Milli - by Lil Wayne
"[{'name': 'song_1', 'value': 'Bad Blood - by Taylor Swift'}, {'name': 'song_3', 'value': 'I Feel Good - by Lil Wayne'}, {'name': 'song_4', 'value': 'Thinking Bout You - by Lil Wayne'}, {'name': 'song_5', 'value': 'Make Me Proud - by Drake'}, {'name': 'song_2', 'value': 'Bad Blood - by Taylor Swift'}, {'name': 'playlist_name', 'value': 'playlist1'}]",gemma2-9b-it,121994,Bohemian Rhapsody - by Queen
"[{'name': 'song_1', 'value': 'Bad Blood - by Taylor Swift'}, {'name': 'song_3', 'value': 'I Feel Good - by Lil Wayne'}, {'name': 'song_4', 'value': 'Thinking Bout You - by Lil Wayne'}, {'name': 'song_5', 'value': 'Make Me Proud - by Drake'}, {'name': 'song_2', 'value': 'Bad Blood - by Taylor Swift'}, {'name': 'playlist_name', 'value': 'playlist1'}]",gemma2-9b-it,121994,Hotel California - by Eagles
"[{'name': 'song_1', 'value': 'Bad Blood - by Taylor Swift'}, {'name': 'song_2', 'value': 'Bad Blood - by Taylor Swift'}, {'name': 'song_3', 'value': 'I Feel Good - by Lil Wayne'}, {'name': 'song_4', 'value': 'Thinking Bout You - by Lil Wayne'}, {'name': 'song_5', 'value': 'Make Me Proud - by Drake'}, {'name': 'playlist_name', 'value': 'playlist1'}]",gemma2-9b-it,121994,Shake It Off - by Taylor Swift
"[{'name': 'song_1', 'value': 'Closer - by The Chainsmokers'}, {'name': 'song_2', 'value': 'Until You Were Gone - Boehm Remix - by The Chainsmokers'}, {'name': 'song_3', 'value': ""Sweet Lovin' - Radio Edit - by Sigala""}, {'name': 'song_4', 'value': 'Starving - by Hailee Steinfeld'}, {'name': 'song_5', 'value': 'LUV - by Tory Lanez'}, {'name': 'playlist_name', 'value': 'Closer'}]",gemma2-9b-it,122684,Bohemian Rhapsody - by Queen
"[{'name': 'song_1', 'value': 'Closer - by The Chainsmokers'}, {'name': 'song_2', 'value': 'Until You Were Gone - Boehm Remix - by The Chainsmokers'}, {'name': 'song_3', 'value': ""Sweet Lovin' - Radio Edit - by Sigala""}, {'name': 'playlist_name', 'value': 'Closer'}, {'name': 'song_4', 'value': 'Starving - by Hailee Steinfeld'}, {'name': 'song_5', 'value': 'LUV - by Tory Lanez'}]",gemma2-9b-it,122684,Don't Let Me Down - by The Chainsmokers ft. Daya
"[{'name': 'song_1', 'value': 'Closer - by The Chainsmokers'}, {'name': 'playlist_name', 'value': 'Closer'}, {'name': 'song_2', 'value': 'Until You Were Gone - Boehm Remix - by The Chainsmokers'}, {'name': 'song_3', 'value': ""Sweet Lovin' - Radio Edit - by Sigala""}, {'name': 'song_4', 'value': 'Starving - by Hailee Steinfeld'}, {'name': 'song_5', 'value': 'LUV - by Tory Lanez'}]",gemma2-9b-it,122684,Something Just Like This - by The Chainsmokers & Coldplay
"[{'name': 'song_1', 'value': 'Closer - by The Chainsmokers'}, {'name': 'song_2', 'value': 'Until You Were Gone - Boehm Remix - by The Chainsmokers'}, {'name': 'song_3', 'value': ""Sweet Lovin' - Radio Edit - by Sigala""}, {'name': 'song_4', 'value': 'Starving - by Hailee Steinfeld'}, {'name': 'song_5', 'value': 'LUV - by Tory Lanez'}, {'name': 'playlist_name', 'value': 'Closer'}]",gemma2-9b-it,122684,Stairway to Heaven - by Led Zeppelin
"[{'name': 'playlist_name', 'value': 'chill acoustic'}, {'name': 'song_3', 'value': 'Banana Pancakes - by Jack Johnson'}, {'name': 'song_4', 'value': 'Better Together - by Jack Johnson'}, {'name': 'song_5', 'value': 'Sitting, Waiting, Wishing - by Jack Johnson'}, {'name': 'song_2', 'value': 'Put Your Records On - by Corinne Bailey Rae'}, {'name': 'song_1', 'value': 'Starving - Acoustic - by Hailee Steinfeld'}]",gemma2-9b-it,124069,Flowers in Your Hair - by The Lumineers
"[{'name': 'playlist_name', 'value': 'chill acoustic'}, {'name': 'song_1', 'value': 'Starving - Acoustic - by Hailee Steinfeld'}, {'name': 'song_2', 'value': 'Put Your Records On - by Corinne Bailey Rae'}, {'name': 'song_3', 'value': 'Banana Pancakes - by Jack Johnson'}, {'name': 'song_4', 'value': 'Better Together - by Jack Johnson'}, {'name': 'song_5', 'value': 'Sitting, Waiting, Wishing - by Jack Johnson'}]",gemma2-9b-it,124069,Mr. Brightside - by The Killers
"[{'name': 'playlist_name', 'value': 'chill acoustic'}, {'name': 'song_3', 'value': 'Banana Pancakes - by Jack Johnson'}, {'name': 'song_4', 'value': 'Better Together - by Jack Johnson'}, {'name': 'song_5', 'value': 'Sitting, Waiting, Wishing - by Jack Johnson'}, {'name': 'song_1', 'value': 'Starving - Acoustic - by Hailee Steinfeld'}, {'name': 'song_2', 'value': 'Put Your Records On - by Corinne Bailey Rae'}]",gemma2-9b-it,124069,Riptide - by Vance Joy
"[{'name': 'playlist_name', 'value': 'chill acoustic'}, {'name': 'song_1', 'value': 'Starving - Acoustic - by Hailee Steinfeld'}, {'name': 'song_2', 'value': 'Put Your Records On - by Corinne Bailey Rae'}, {'name': 'song_3', 'value': 'Banana Pancakes - by Jack Johnson'}, {'name': 'song_4', 'value': 'Better Together - by Jack Johnson'}, {'name': 'song_5', 'value': 'Sitting, Waiting, Wishing - by Jack Johnson'}]",gemma2-9b-it,124069,Uptown Funk - by Mark Ronson ft. Bruno Mars
"[{'name': 'playlist_name', 'value': 'Going out'}, {'name': 'song_1', 'value': 'Drunk in Love - by Beyoncé'}, {'name': 'song_3', 'value': 'Show Me Love - by Sam Feldt'}, {'name': 'song_4', 'value': 'Love Myself - by Hailee Steinfeld'}, {'name': 'song_2', 'value': 'Locked Away - by R. City'}, {'name': 'song_5', 'value': 'Still Not a Player (Remix) - Radio Version - by Big Pun'}]",gemma2-9b-it,126329,Bohemian Rhapsody - by Queen
"[{'name': 'song_4', 'value': 'Love Myself - by Hailee Steinfeld'}, {'name': 'song_1', 'value': 'Drunk in Love - by Beyoncé'}, {'name': 'song_3', 'value': 'Show Me Love - by Sam Feldt'}, {'name': 'song_2', 'value': 'Locked Away - by R. City'}, {'name': 'playlist_name', 'value': 'Going out'}, {'name': 'song_5', 'value': 'Still Not a Player (Remix) - Radio Version - by Big Pun'}]",gemma2-9b-it,126329,Can't Stop the Feeling! - by Justin Timberlake
"[{'name': 'song_1', 'value': 'Drunk in Love - by Beyoncé'}, {'name': 'song_3', 'value': 'Show Me Love - by Sam Feldt'}, {'name': 'song_4', 'value': 'Love Myself - by Hailee Steinfeld'}, {'name': 'song_2', 'value': 'Locked Away - by R. City'}, {'name': 'song_5', 'value': 'Still Not a Player (Remix) - Radio Version - by Big Pun'}, {'name': 'playlist_name', 'value': 'Going out'}]",gemma2-9b-it,126329,Hallelujah - by Leonard Cohen
"[{'name': 'playlist_name', 'value': 'Going out'}, {'name': 'song_1', 'value': 'Drunk in Love - by Beyoncé'}, {'name': 'song_5', 'value': 'Still Not a Player (Remix) - Radio Version - by Big Pun'}, {'name': 'song_3', 'value': 'Show Me Love - by Sam Feldt'}, {'name': 'song_4', 'value': 'Love Myself - by Hailee Steinfeld'}, {'name': 'song_2', 'value': 'Locked Away - by R. City'}]",gemma2-9b-it,126329,Uptown Funk - by Mark Ronson ft. Bruno Mars
"[{'name': 'playlist_name', 'value': 'Karaoke'}, {'name': 'song_3', 'value': 'With A Little Help From My Friends - by Joe Cocker'}, {'name': 'song_5', 'value': 'Come Together - by Joe Cocker'}, {'name': 'song_4', 'value': 'You Are So Beautiful - by Joe Cocker'}, {'name': 'song_1', 'value': 'Sara Smile - by Daryl Hall & John Oates'}, {'name': 'song_2', 'value': 'The First Cut Is The Deepest - by Sheryl Crow'}]",gemma2-9b-it,127088,Bohemian Rhapsody - by Queen
"[{'name': 'playlist_name', 'value': 'Karaoke'}, {'name': 'song_1', 'value': 'Sara Smile - by Daryl Hall & John Oates'}, {'name': 'song_2', 'value': 'The First Cut Is The Deepest - by Sheryl Crow'}, {'name': 'song_3', 'value': 'With A Little Help From My Friends - by Joe Cocker'}, {'name': 'song_4', 'value': 'You Are So Beautiful - by Joe Cocker'}, {'name': 'song_5', 'value': 'Come Together - by Joe Cocker'}]",gemma2-9b-it,127088,Free Bird - by Lynyrd Skynyrd
"[{'name': 'song_3', 'value': 'With A Little Help From My Friends - by Joe Cocker'}, {'name': 'song_4', 'value': 'You Are So Beautiful - by Joe Cocker'}, {'name': 'song_5', 'value': 'Come Together - by Joe Cocker'}, {'name': 'song_1', 'value': 'Sara Smile - by Daryl Hall & John Oates'}, {'name': 'song_2', 'value': 'The First Cut Is The Deepest - by Sheryl Crow'}, {'name': 'playlist_name', 'value': 'Karaoke'}]",gemma2-9b-it,127088,Stairway to Heaven - by Led Zeppelin
